"legis.annee","ProfSigni","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"agri","Jamais collaborateur",27,5.8695652173913,0,0,50.5925925925926,48,59.0615385545648,63.6363636363636,0,0,100,100,0,0,88.8888888888889,100,59.0615385545648,63.6363636363636,48.1481481481481,0,14.2222222222222,13
1978,"artisancommercantpdg","Ancien collaborateur",1,1.31578947368421,0,0,55,55,100,100,100,100,100,100,0,0,100,100,100,100,0,0,30,30
1978,"artisancommercantpdg","Jamais collaborateur",20,4.34782608695652,5,0,57.7,55.5,41.8919789285612,47.2831765935214,0,0,100,100,0,0,55,100,41.8919789285612,47.2831765935214,25,0,12.9,14.5
1978,"cadsupprive","Ancien collaborateur",12,15.7894736842105,0,0,48.0833333333333,52,48.9683292081791,41.1637931034483,100,100,100,100,0,0,66.6666666666667,100,40.3523239907417,38.0387931034483,50,50,12.75,12.5
1978,"cadsupprive","Jamais collaborateur",63,13.695652173913,3.17460317460317,0,50.4920634920635,51,36.4300961617903,35.4838709677419,0,0,100,100,0,0,73.015873015873,100,36.4300961617903,35.4838709677419,47.6190476190476,0,9.95238095238095,8
1978,"cadsuppub","Ancien collaborateur",48,63.1578947368421,0,0,50.3958333333333,52,57.2224075699203,60.3030303030303,100,100,100,100,0,0,81.25,100,42.3182838332549,47.45670995671,29.1666666666667,0,14.4583333333333,13.5
1978,"cadsuppub","Jamais collaborateur",117,25.4347826086957,2.56410256410256,0,48.9059829059829,48,39.1259158103556,35,0,0,100,100,0,0,80.3418803418803,100,39.1259158103556,35,47.8632478632479,0,9.4017094017094,7
1978,"collab","Ancien collaborateur",8,10.5263157894737,0,0,44.375,47,64.1381455849456,74.8125,100,100,0,0,0,0,100,100,47.3634339824136,39.8571428571428,37.5,0,10.625,9.5
1978,"collab","Jamais collaborateur",2,0.434782608695652,0,0,40.5,40.5,13.1578947368421,13.1578947368421,0,0,0,0,0,0,0,0,13.1578947368421,13.1578947368421,50,50,2.5,2.5
1978,"employe","Jamais collaborateur",54,11.7391304347826,11.1111111111111,0,54.4444444444444,55.5,46.3836363177426,46.2962962962962,0,0,0,0,100,100,83.3333333333333,100,46.3836363177426,46.2962962962962,25.9259259259259,0,13.5740740740741,13
1978,"NA","Jamais collaborateur",4,0.869565217391304,50,50,45.75,44,24.3777056277056,1.78571428571428,0,0,0,0,0,0,50,50,24.3777056277056,1.78571428571428,75,100,8,0.5
1978,"profinter","Ancien collaborateur",5,6.57894736842105,0,0,50.2,50,46.9463203463204,38.0952380952381,100,100,0,0,100,100,80,100,33.3108225108225,12.1212121212121,60,100,10.6,11
1978,"profinter","Jamais collaborateur",72,15.6521739130435,6.94444444444444,0,50.1805555555556,52.5,46.5933210223843,42.2647527910686,0,0,0,0,100,100,90.2777777777778,100,46.5933210223843,42.2647527910686,44.4444444444444,0,11.8194444444444,9
1978,"proflib","Ancien collaborateur",2,2.63157894736842,0,0,45,45,41.991341991342,41.991341991342,100,100,100,100,0,0,0,0,30.3030303030303,30.3030303030303,50,50,12,12
1978,"proflib","Jamais collaborateur",101,21.9565217391304,1.98019801980198,0,54.049504950495,56,50.4970693423425,54.8387096774194,0,0,100,100,0,0,82.1782178217822,100,50.4970693423425,54.8387096774194,27.7227722772277,0,14.2772277227723,13
1978,"Total","Ancien collaborateur",76,100,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Total","Jamais collaborateur",460,100,4.56521739130435,0,51.5195652173913,53,44.3234682997386,42.1052631578947,0,0,71.304347826087,100,27.3913043478261,0,80.4347826086957,100,44.3234682997386,42.1052631578947,39.5652173913044,0,11.8086956521739,10.5
1997,"agri","Jamais collaborateur",18,3.60721442885772,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"artisancommercantpdg","Ancien collaborateur",2,1.29032258064516,0,0,33.5,33.5,45.4545454545454,45.4545454545454,100,100,100,100,0,0,50,50,36.3636363636363,36.3636363636363,50,50,5,5
1997,"artisancommercantpdg","Jamais collaborateur",36,7.21442885771543,5.55555555555556,0,54.1944444444444,55,57.5540058412728,52.7777777777778,0,0,100,100,0,0,97.2222222222222,100,57.5540058412728,52.7777777777778,36.1111111111111,0,16.6944444444444,15
1997,"cadsupprive","Ancien collaborateur",22,14.1935483870968,9.09090909090909,0,49.0909090909091,48.5,69.4961277720065,75.7902298850575,100,100,100,100,0,0,95.4545454545455,100,62.3727834326839,64.691091954023,36.3636363636364,0,15.9545454545455,15
1997,"cadsupprive","Jamais collaborateur",76,15.2304609218437,6.57894736842105,0,53.2368421052632,52.5,56.8794618377376,57.1428571428571,0,0,100,100,0,0,96.0526315789474,100,56.8794618377376,57.1428571428571,28.9473684210526,0,15.9736842105263,15.5
1997,"cadsuppub","Ancien collaborateur",69,44.5161290322581,14.4927536231884,0,51.3188405797101,51,57.3794917290807,59.2592592592593,100,100,100,100,0,0,88.4057971014493,100,45.3195369711181,45.8333333333333,44.9275362318841,0,15.2028985507246,15
