"legis.annee","cabcollab","tendance.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien collaborateur","Centre",28,20.1438848920863,0,0,47.7142857142857,50,46.0453109695621,34.8484848484848,100,100,85.7142857142857,100,7.14285714285714,0,57.1428571428571,100,32.8395261175405,25.2380952380952,46.4285714285714,0,10.8928571428571,9
1978,"Ancien collaborateur","COM/LFI",2,2.27272727272727,0,0,52.5,52.5,49.3506493506493,49.3506493506493,100,100,0,0,100,100,100,100,33.5497835497836,33.5497835497836,50,50,14,14
1978,"Ancien collaborateur","Droite",38,21.8390804597701,0,0,50.5526315789474,53,64.8546687712151,66.6666666666667,100,100,86.8421052631579,100,2.63157894736842,0,89.4736842105263,100,51.0061611730178,54.6920821114369,26.3157894736842,0,15.7894736842105,16.5
1978,"Ancien collaborateur","ECO/SOC/RAD",7,5.78512396694215,0,0,47.4285714285714,48,48.3810778704234,42.1052631578947,100,100,71.4285714285714,100,0,0,100,100,35.757737501524,26.3157894736842,42.8571428571429,0,12.1428571428571,8
1978,"Ancien collaborateur","Non-inscrits",1,7.14285714285714,0,0,53,53,75,75,100,100,100,100,0,0,100,100,46.4285714285714,46.4285714285714,0,0,21,21
1978,"Jamais collaborateur","Centre",111,79.8561151079137,1.8018018018018,0,51.2162162162162,53,43.7092641190085,41.6666666666667,0,0,89.1891891891892,100,9.90990990990991,0,84.6846846846847,100,43.7092641190085,41.6666666666667,46.8468468468468,0,11.3963963963964,12
1978,"Jamais collaborateur","COM/LFI",86,97.7272727272727,15.1162790697674,0,50.9883720930233,52,43.7382736415235,41.8859649122807,0,0,22.093023255814,0,75.5813953488372,100,77.9069767441861,100,43.7382736415235,41.8859649122807,37.2093023255814,0,11.953488372093,8.5
1978,"Jamais collaborateur","Droite",136,78.1609195402299,2.20588235294118,0,54.7573529411765,56,49.0590590538955,51.5151515151515,0,0,88.2352941176471,100,11.0294117647059,0,75.7352941176471,100,49.0590590538955,51.5151515151515,29.4117647058824,0,14,13
1978,"Jamais collaborateur","ECO/SOC/RAD",114,94.2148760330578,1.75438596491228,0,48.0877192982456,47,40.8788490399665,35.7142857142857,0,0,71.0526315789474,100,28.0701754385965,0,84.2105263157895,100,40.8788490399665,35.7142857142857,46.4912280701754,0,9.66666666666667,7
1978,"Jamais collaborateur","Non-inscrits",13,92.8571428571429,7.69230769230769,0,53.8461538461538,55,34.1042112009854,32.258064516129,0,0,69.2307692307692,100,23.0769230769231,0,76.9230769230769,100,34.1042112009854,32.258064516129,38.4615384615385,0,10.2307692307692,8
1978,"Total","Centre",139,100,1.43884892086331,0,50.5107913669065,52,44.1798347076092,41.1764705882353,20.1438848920863,0,88.4892086330935,100,9.35251798561151,0,79.136690647482,100,41.5196766079214,40.625,46.7625899280576,0,11.294964028777,10
1978,"Total","COM/LFI",88,100,14.7727272727273,0,51.0227272727273,52,43.8658276349128,41.8859649122807,2.27272727272727,0,21.5909090909091,0,76.1363636363636,100,78.4090909090909,100,43.5067170485294,41.8859649122807,37.5,0,12,8.5
1978,"Total","Droite",174,100,1.72413793103448,0,53.8390804597701,55,52.5086749691722,56.3492063492063,21.8390804597701,0,87.9310344827586,100,9.19540229885057,0,78.7356321839081,100,49.4842882523245,51.6129032258065,28.735632183908,0,14.3908045977012,13.5
1978,"Total","ECO/SOC/RAD",121,100,1.65289256198347,0,48.0495867768595,47,41.3128622780921,35.7142857142857,5.78512396694215,0,71.0743801652893,100,26.4462809917355,0,85.1239669421488,100,40.5825863889822,35.7142857142857,46.2809917355372,0,9.8099173553719,7
1978,"Total","Non-inscrits",14,100,7.14285714285714,0,53.7857142857143,54,37.0253389723436,35.5734767025089,7.14285714285714,0,71.4285714285714,100,21.4285714285714,0,78.5714285714286,100,34.984522645813,35.5734767025089,35.7142857142857,0,11,9
1997,"Ancien collaborateur","Centre",38,30.8943089430894,7.89473684210526,0,49.8157894736842,47,67.010050667134,72.5705329153605,100,100,76.3157894736842,100,5.26315789473684,0,89.4736842105263,100,57.2832065002695,63.5278514588859,21.0526315789474,0,16.2894736842105,16
1997,"Ancien collaborateur","Droite",44,28.0254777070064,4.54545454545455,0,53.1590909090909,52,66.4360083618325,69.0909090909091,100,100,65.9090909090909,100,4.54545454545455,0,97.7272727272727,100,54.8661991193853,61.4583333333333,11.3636363636364,0,18.5227272727273,17
1997,"Ancien collaborateur","ECO/SOC/RAD",72,21.9512195121951,18.0555555555556,0,45.6944444444444,46,69.0859797758911,75.5,100,100,59.7222222222222,100,2.77777777777778,0,87.5,100,50.4375947532859,51.6666666666667,63.8888888888889,100,14.0277777777778,14
1997,"Ancien collaborateur","Non-inscrits",1,20,0,0,61,61,38.8888888888889,38.8888888888889,100,100,0,0,100,100,100,100,36.1111111111111,36.1111111111111,100,100,14,14
1997,"Jamais collaborateur","Centre",85,69.1056910569106,5.88235294117647,0,55.3764705882353,54,62.7557892362,66.6666666666667,0,0,95.2941176470588,100,4.70588235294118,0,97.6470588235294,100,62.7557892362,66.6666666666667,14.1176470588235,0,19.2,20
1997,"Jamais collaborateur","COM/LFI",41,100,9.75609756097561,0,54.5609756097561,54,60.2629020046489,63.6363636363636,0,0,34.1463414634146,0,60.9756097560976,100,95.1219512195122,100,60.2629020046489,63.6363636363636,48.780487804878,0,18.0487804878049,20
1997,"Jamais collaborateur","Droite",113,71.9745222929936,6.19469026548673,0,54.3008849557522,54,57.8655735143238,56,0,0,90.2654867256637,100,8.84955752212389,0,97.3451327433628,100,57.8655735143238,56,21.2389380530973,0,16.6814159292035,15
1997,"Jamais collaborateur","ECO/SOC/RAD",256,78.0487804878049,15.234375,0,52.8203125,53,55.9595325601228,59.041394335512,0,0,73.828125,100,23.828125,0,95.3125,100,55.9595325601228,59.041394335512,51.5625,100,15.859375,16
1997,"Jamais collaborateur","Non-inscrits",4,80,0,0,54.25,54,60.9615965254552,60.0241545893719,0,0,100,100,0,0,100,100,60.9615965254552,60.0241545893719,50,50,18,17.5
1997,"Total","Centre",123,100,6.50406504065041,0,53.6585365853659,53,64.0701139059195,66.6666666666667,30.8943089430894,0,89.4308943089431,100,4.8780487804878,0,95.1219512195122,100,61.0650726185955,65.5172413793103,16.260162601626,0,18.3008130081301,20
1997,"Total","COM/LFI",41,100,9.75609756097561,0,54.5609756097561,54,60.2629020046489,63.6363636363636,0,0,34.1463414634146,0,60.9756097560976,100,95.1219512195122,100,60.2629020046489,63.6363636363636,48.780487804878,0,18.0487804878049,20
1997,"Total","Droite",157,100,5.73248407643312,0,53.9808917197452,53,60.2674788219058,60,28.0254777070064,0,83.4394904458599,100,7.64331210191083,0,97.4522292993631,100,57.0249845119206,56,18.4713375796178,0,17.1974522292994,15
1997,"Total","ECO/SOC/RAD",328,100,15.8536585365854,0,51.2560975609756,51,58.8409478026085,61.3171355498721,21.9512195121951,0,70.7317073170732,100,19.2073170731707,0,93.5975609756098,100,54.7473998708172,58.1989247311828,54.2682926829268,100,15.4573170731707,15
1997,"Total","Non-inscrits",5,100,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
2007,"Ancien collaborateur","Centre",7,26.9230769230769,0,0,48.5714285714286,48,84.1496598639456,100,100,100,42.8571428571429,0,0,0,85.7142857142857,100,72.9318249038746,78.2608695652174,14.2857142857143,0,18,18
2007,"Ancien collaborateur","COM/LFI",2,7.69230769230769,50,50,44.5,44.5,60,60,100,100,0,0,50,50,100,100,43.3333333333333,43.3333333333333,50,50,7.5,7.5
2007,"Ancien collaborateur","Droite",104,28.1842818428184,12.5,0,52.7019230769231,52.5,76.107855340899,80.7692307692308,100,100,48.0769230769231,0,4.80769230769231,0,95.1923076923077,100,62.0367371806279,61.6366366366367,22.1153846153846,0,20.7980769230769,20
2007,"Ancien collaborateur","ECO/SOC/RAD",72,34.2857142857143,19.4444444444444,0,51.4583333333333,53,79.7366280899005,84.9624060150376,100,100,51.3888888888889,100,4.16666666666667,0,93.0555555555556,100,59.5145467435508,63.6111111111111,30.5555555555556,0,20.7361111111111,22
2007,"Ancien collaborateur","Non-inscrits",4,50,25,0,48.25,46.5,83.3860678088182,86.0703812316715,100,100,75,100,0,0,100,100,72.903942407338,69.8680351906158,25,0,19.5,18
2007,"Jamais collaborateur","Centre",19,73.0769230769231,5.26315789473684,0,56.0526315789474,54,68.0533155077047,64.8648648648649,0,0,89.4736842105263,100,5.26315789473684,0,100,100,68.0533155077047,64.8648648648649,21.0526315789474,0,20.6315789473684,18
2007,"Jamais collaborateur","COM/LFI",24,92.3076923076923,20.8333333333333,0,59.9583333333333,59.5,74.6946898857774,79.0625,0,0,29.1666666666667,0,66.6666666666667,100,100,100,74.6946898857774,79.0625,25,0,26.0416666666667,24.5
2007,"Jamais collaborateur","Droite",265,71.8157181571816,16.9811320754717,0,55.5320754716981,56,61.8313867359804,65,0,0,86.0377358490566,100,10.5660377358491,0,96.6037735849057,100,61.8313867359804,65,24.5283018867925,0,19.0641509433962,19
2007,"Jamais collaborateur","ECO/SOC/RAD",138,65.7142857142857,31.1594202898551,0,56.9565217391304,58,63.0327026019098,67.6190476190476,0,0,71.0144927536232,100,26.8115942028986,0,97.1014492753623,100,63.0327026019098,67.6190476190476,40.5797101449275,0,20.268115942029,21
2007,"Jamais collaborateur","Non-inscrits",4,50,0,0,52.75,54.5,82.4652777777778,96.875,0,0,50,50,50,50,100,100,82.4652777777778,96.875,50,50,21.5,21.5
2007,"Total","Centre",26,100,3.84615384615385,0,54.0384615384615,53.5,72.3869466805388,70,26.9230769230769,0,76.9230769230769,100,3.84615384615385,0,96.1538461538462,100,69.366760345135,70,19.2307692307692,0,19.9230769230769,18
2007,"Total","COM/LFI",26,100,23.0769230769231,0,58.7692307692308,59,73.564329125333,79.0625,7.69230769230769,0,26.9230769230769,0,65.3846153846154,100,100,100,72.2822778432817,77.5240384615385,26.9230769230769,0,24.6153846153846,24
2007,"Total","Droite",369,100,15.7181571815718,0,54.7344173441734,56,65.8551068847921,68.4210526315789,28.1842818428184,0,75.3387533875339,100,8.94308943089431,0,96.2059620596206,100,61.8892632840654,64.2857142857143,23.8482384823848,0,19.5528455284553,19
