"legis.annee","tendance.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Centre","agri",11,40.7407407407407,0,0,48.1818181818182,46,69.3212010877398,80.6451612903226,0,0,100,100,0,0,90.9090909090909,100,69.3212010877398,80.6451612903226,54.5454545454545,100,15.5454545454545,13
1978,"Centre","artisancommercantpdg",7,33.3333333333333,0,0,58,57,48.3388192267503,57.5757575757576,0,0,100,100,0,0,71.4285714285714,100,48.3388192267503,57.5757575757576,14.2857142857143,0,15,19
1978,"Centre","cadsupprive",29,38.6666666666667,3.44827586206897,0,48.7586206896552,51,38.6512942639234,33.3333333333333,20.6896551724138,0,100,100,0,0,72.4137931034483,100,36.6196992240049,33.3333333333333,58.6206896551724,100,9.6551724137931,7
1978,"Centre","cadsuppub",41,24.8484848484848,0,0,49.0975609756098,50,36.6201045748849,30,41.4634146341463,0,100,100,0,0,70.7317073170732,100,30.346776036843,21.2121212121212,51.219512195122,100,8.87804878048781,7
1978,"Centre","collab",3,30,0,0,41.3333333333333,44,46.338067390699,26.3157894736842,66.6666666666667,100,0,0,0,0,66.6666666666667,100,42.6343636869953,26.3157894736842,33.3333333333333,0,6,5
1978,"Centre","employe",3,5.55555555555556,0,0,57.6666666666667,58,34.622082897945,39.3939393939394,0,0,0,0,100,100,100,100,34.622082897945,39.3939393939394,33.3333333333333,0,11.3333333333333,13
1978,"Centre","profinter",10,12.987012987013,10,0,52.7,55,36.8667557932264,31.5151515151515,20,0,0,0,100,100,90,100,34.042513368984,25,60,100,8.9,7.5
1978,"Centre","proflib",35,33.9805825242718,0,0,52.4,54,51.6066356509439,57.5757575757576,2.85714285714286,0,100,100,0,0,88.5714285714286,100,51.1984723856377,57.5757575757576,34.2857142857143,0,14.5428571428571,15
1978,"COM/LFI","agri",3,11.1111111111111,0,0,55.3333333333333,54,40.2298850574713,20.6896551724138,0,0,100,100,0,0,66.6666666666667,100,40.2298850574713,20.6896551724138,33.3333333333333,0,13,6
1978,"COM/LFI","cadsupprive",3,4,33.3333333333333,0,42.3333333333333,44,24.3508771929825,21.0526315789474,0,0,100,100,0,0,66.6666666666667,100,24.3508771929825,21.0526315789474,33.3333333333333,0,5.66666666666667,4
