"legis.annee","cabcollab","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien collaborateur","Hommes",76,14.7572815533981,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Jamais collaborateur","Femmes",21,100,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Jamais collaborateur","Hommes",439,85.2427184466019,0,0,51.7129840546697,53,44.8844387429845,42.4242424242424,0,0,72.8929384965831,100,26.1958997722096,0,80.8656036446469,100,44.8844387429845,42.4242424242424,38.2687927107062,0,12.004555808656,11
1978,"Total","Femmes",21,100,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Total","Hommes",515,100,0,0,51.3572815533981,53,46.5444341212008,44.8275862068966,14.7572815533981,0,74.368932038835,100,23.3009708737864,0,80.5825242718447,100,44.5161976020871,43.4782608695652,37.8640776699029,0,12.2504854368932,11
1997,"Ancien collaborateur","Femmes",18,24.6575342465753,100,100,48,49.5,58.4529056875548,63.3928571428572,100,100,66.6666666666667,100,0,0,66.6666666666667,100,26.7255305204867,27.4615384615385,66.6666666666667,100,13.5555555555556,14
1997,"Ancien collaborateur","Hommes",137,23.5800344234079,0,0,49.043795620438,48,68.835718420794,73.3333333333333,100,100,64.963503649635,100,5.10948905109489,0,94.1605839416058,100,56.769583884979,61.5384615384615,35.036496350365,0,16.1605839416058,16
1997,"Jamais collaborateur","Femmes",55,75.3424657534247,100,100,51.2181818181818,51,44.5969926051477,48.2758620689655,0,0,63.6363636363636,100,29.0909090909091,0,87.2727272727273,100,44.5969926051477,48.2758620689655,69.0909090909091,100,11.8727272727273,14
1997,"Jamais collaborateur","Hommes",444,76.4199655765921,0,0,54.0585585585586,54,59.59568243828,60.8695652173913,0,0,79.954954954955,100,18.9189189189189,0,97.2972972972973,100,59.59568243828,60.8695652173913,34.2342342342342,0,17.4234234234234,17
1997,"Total","Femmes",73,100,100,100,50.4246575342466,50,48.013519118618,51.7241379310345,24.6575342465753,0,64.3835616438356,100,21.9178082191781,0,82.1917808219178,100,40.1903307212587,42.8571428571429,68.4931506849315,100,12.2876712328767,14
