"legis.annee","groupe.pol","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Communiste","Ancien élu local",69,16.046511627907,14.4927536231884,0,52.7391304347826,53,51.4015790066662,50,2.89855072463768,0,15.9420289855072,0,82.6086956521739,100,100,100,50.9435828964962,50,31.8840579710145,0,14.1014492753623,13
1978,"Communiste","Jamais élu local",19,17.9245283018868,15.7894736842105,0,44.7894736842105,44,16.4991516006501,0,0,0,42.1052631578947,0,52.6315789473684,100,0,0,16.4991516006501,0,57.8947368421053,100,4.36842105263158,0
1978,"Non-inscrits","Ancien élu local",11,2.55813953488372,0,0,56.7272727272727,56,44.8504314193464,42.4242424242424,9.09090909090909,0,81.8181818181818,100,18.1818181818182,0,100,100,42.2530288219438,42.4242424242424,27.2727272727273,0,13.5454545454545,14
1978,"Non-inscrits","Jamais élu local",3,2.83018867924528,33.3333333333333,0,43,45,8.33333333333333,0,0,0,33.3333333333333,0,33.3333333333333,0,0,0,8.33333333333333,0,66.6666666666667,100,1.66666666666667,0
1978,"RPR/UMP/LR","Ancien élu local",137,31.8604651162791,1.45985401459854,0,54.1970802919708,56,60.1658689695213,60.6060606060606,24.8175182481752,0,85.4014598540146,100,10.9489051094891,0,100,100,57.3399391911229,57.5757575757576,23.3576642335766,0,16.4525547445255,16
1978,"RPR/UMP/LR","Jamais élu local",37,34.9056603773585,2.7027027027027,0,52.5135135135135,54,24.1563620489607,17.2413793103448,10.8108108108108,0,97.2972972972973,100,2.7027027027027,0,0,0,20.397148289747,13.0434782608696,48.6486486486486,0,6.75675675675676,4
1978,"Socialiste","Ancien élu local",103,23.953488372093,0.970873786407767,0,48.6019417475728,48,46.5677974116875,40.9090909090909,6.79611650485437,0,70.873786407767,100,27.1844660194175,0,100,100,45.7099004934128,40,43.6893203883495,0,11.0485436893204,8
1978,"Socialiste","Jamais élu local",18,16.9811320754717,5.55555555555556,0,44.8888888888889,40.5,11.2429556802958,0,0,0,72.2222222222222,100,22.2222222222222,0,0,0,11.2429556802958,0,61.1111111111111,100,2.72222222222222,0
1978,"Total","Ancien élu local",430,100,3.48837209302326,0,51.9348837209302,53,52.981674281091,53.2291666666667,13.953488372093,0,71.1627906976744,100,26.5116279069767,0,100,100,51.3921865283708,51.5151515151515,34.4186046511628,0,13.9279069767442,13
1978,"Total","Jamais élu local",106,100,5.66037735849057,0,48.2452830188679,49,17.667834351498,14.7186147186147,15.0943396226415,0,80.188679245283,100,16.0377358490566,0,0,0,14.2615883734426,0,57.5471698113208,100,4.54716981132075,2
1978,"UDF/MODEM/UDI/NC/Dém","Ancien élu local",110,25.5813953488372,1.81818181818182,0,51.2545454545455,53,51.844082377892,57.5757575757576,14.5454545454545,0,87.2727272727273,100,10.9090909090909,0,100,100,50.5005295481316,54.7727272727273,41.8181818181818,0,13.4090909090909,13
1978,"UDF/MODEM/UDI/NC/Dém","Jamais élu local",29,27.3584905660377,0,0,47.6896551724138,50,15.1085504410193,17.2413793103448,41.3793103448276,0,93.1034482758621,100,3.44827586206897,0,0,0,7.45437235195185,0,65.5172413793103,100,3.27586206896552,2
1997,"Communiste","Ancien élu local",39,6.28019323671498,10.2564102564103,0,54.5641025641026,54,62.3637054396031,64.5161290322581,0,0,35.8974358974359,0,58.974358974359,100,100,100,62.3637054396031,64.5161290322581,48.7179487179487,0,18.6923076923077,20
1997,"Communiste","Jamais élu local",2,6.06060606060606,0,0,54.5,54.5,19.2972350230415,19.2972350230415,0,0,0,0,100,100,0,0,19.2972350230415,19.2972350230415,50,50,5.5,5.5
1997,"Non-inscrits","Ancien élu local",5,0.805152979066023,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
1997,"Radical","Ancien élu local",37,5.95813204508857,13.5135135135135,0,54.5405405405405,54,55.9598477437464,61.7647058823529,5.40540540540541,0,78.3783783783784,100,16.2162162162162,0,100,100,54.8163966002953,61.7647058823529,51.3513513513514,100,16.6756756756757,16
1997,"RPR/UMP/LR","Ancien élu local",153,24.6376811594203,5.88235294117647,0,54.2483660130719,54,61.6922696206686,60.6060606060606,28.1045751633987,0,83.0065359477124,100,7.84313725490196,0,100,100,58.3650042176119,57.1428571428571,16.9934640522876,0,17.6274509803922,15
1997,"RPR/UMP/LR","Jamais élu local",4,12.1212121212121,0,0,43.75,42.5,5.76923076923078,0,25,0,100,100,0,0,0,0,5.76923076923078,0,75,100,0.75,0
1997,"Socialiste","Ancien élu local",270,43.4782608695652,13.3333333333333,0,51.2814814814815,51,61.9940996214834,63.6363636363636,22.5925925925926,0,70,100,20.3703703703704,0,100,100,58.6661862025498,60,51.8518518518519,100,16.1074074074074,16
1997,"Socialiste","Jamais élu local",21,63.6363636363636,52.3809523809524,100,45.1428571428571,45,23.3766483303086,8.33333333333333,42.8571428571429,0,66.6666666666667,100,9.52380952380952,0,0,0,4.24143851088822,0,90.4761904761905,100,4.95238095238095,3
1997,"Total","Ancien élu local",621,100,9.66183574879227,0,52.8647342995169,52,62.1867401725895,63.6363636363636,22.7053140096618,0,75.2012882447665,100,16.5861513687601,0,100,100,59.3020191362706,60.4166666666667,36.3929146537842,0,17.1481481481481,16
1997,"Total","Jamais élu local",33,100,39.3939393939394,0,47.6666666666667,45,23.5756871129137,16.1290322580645,42.4242424242424,0,72.7272727272727,100,12.1212121212121,0,0,0,10.4623107232215,0,72.7272727272727,100,6,3
1997,"UDF/MODEM/UDI/NC/Dém","Ancien élu local",117,18.8405797101449,5.12820512820513,0,53.4957264957265,53,65.4291225962515,68.0851063829787,29.0598290598291,0,88.8888888888889,100,5.12820512820513,0,100,100,62.5340964108768,66.6666666666667,16.2393162393162,0,18.5555555555556,20
