"legis.annee","primodep","tendance.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien député","Centre",74,53.2374100719424,0,0,53.3648648648649,54,54.9607447050228,58.4753787878788,20.2702702702703,0,89.1891891891892,100,8.10810810810811,0,86.4864864864865,100,52.5272381383642,57.3593073593074,0,0,15.0405405405405,14.5
1978,"Ancien député","COM/LFI",55,62.5,7.27272727272727,0,55.6545454545455,56,57.6266941608189,57.5757575757576,1.81818181818182,0,18.1818181818182,0,81.8181818181818,100,85.4545454545455,100,57.5715977420861,57.5757575757576,0,0,16.8181818181818,16
1978,"Ancien député","Droite",124,71.2643678160919,2.41935483870968,0,56.6290322580645,57,59.2632282748192,57.9796264855688,22.5806451612903,0,88.7096774193548,100,8.06451612903226,0,84.6774193548387,100,56.8261950559414,57.1428571428571,0,0,17.3790322580645,17
1978,"Ancien député","ECO/SOC/RAD",65,53.7190082644628,0,0,53.8461538461538,55,53.9211837596935,44,6.15384615384615,0,67.6923076923077,100,30.7692307692308,0,89.2307692307692,100,53.3783443004887,43.75,0,0,14.4769230769231,11
1978,"Ancien député","Non-inscrits",9,64.2857142857143,0,0,56.7777777777778,56,52.9893921291771,60.6060606060606,11.1111111111111,0,88.8888888888889,100,11.1111111111111,0,88.8888888888889,100,49.8147889545739,46.4285714285714,0,0,15.7777777777778,19
1978,"Primo-député","Centre",65,46.7625899280576,3.07692307692308,0,47.2615384615385,48,31.9061833259384,24.2424242424242,20,0,87.6923076923077,100,10.7692307692308,0,70.7692307692308,100,28.9879911732635,21.7391304347826,100,100,7.03076923076923,5
1978,"Primo-député","COM/LFI",33,37.5,27.2727272727273,0,43.3030303030303,43,20.9310500917359,14.2857142857143,3.03030303030303,0,27.2727272727273,0,66.6666666666667,100,66.6666666666667,100,20.065249225935,14.2857142857143,100,100,3.96969696969697,1
1978,"Primo-député","Droite",50,28.735632183908,0,0,46.92,48,35.7573827711676,27.5,20,0,86,100,12,0,64,100,31.2763593793547,19.9110122358176,100,100,6.98,5
1978,"Primo-député","ECO/SOC/RAD",56,46.2809917355372,3.57142857142857,0,41.3214285714286,40,26.678203415519,22.4747474747474,5.35714285714286,0,75,100,21.4285714285714,0,80.3571428571429,100,25.7303673845549,19.0909090909091,100,100,4.39285714285714,2
1978,"Primo-député","Non-inscrits",5,35.7142857142857,20,0,48.4,49,8.29004329004327,3.57142857142857,0,0,40,0,40,0,60,100,8.29004329004327,3.57142857142857,100,100,2.4,1
1978,"Total","Centre",139,100,1.43884892086331,0,50.5107913669065,52,44.1798347076092,41.1764705882353,20.1438848920863,0,88.4892086330935,100,9.35251798561151,0,79.136690647482,100,41.5196766079214,40.625,46.7625899280576,0,11.294964028777,10
1978,"Total","COM/LFI",88,100,14.7727272727273,0,51.0227272727273,52,43.8658276349128,41.8859649122807,2.27272727272727,0,21.5909090909091,0,76.1363636363636,100,78.4090909090909,100,43.5067170485294,41.8859649122807,37.5,0,12,8.5
1978,"Total","Droite",174,100,1.72413793103448,0,53.8390804597701,55,52.5086749691722,56.3492063492063,21.8390804597701,0,87.9310344827586,100,9.19540229885057,0,78.7356321839081,100,49.4842882523245,51.6129032258065,28.735632183908,0,14.3908045977012,13.5
1978,"Total","ECO/SOC/RAD",121,100,1.65289256198347,0,48.0495867768595,47,41.3128622780921,35.7142857142857,5.78512396694215,0,71.0743801652893,100,26.4462809917355,0,85.1239669421488,100,40.5825863889822,35.7142857142857,46.2809917355372,0,9.8099173553719,7
1978,"Total","Non-inscrits",14,100,7.14285714285714,0,53.7857142857143,54,37.0253389723436,35.5734767025089,7.14285714285714,0,71.4285714285714,100,21.4285714285714,0,78.5714285714286,100,34.984522645813,35.5734767025089,35.7142857142857,0,11,9
1997,"Ancien député","Centre",103,83.739837398374,5.8252427184466,0,55.2135922330097,54,65.5304229747922,68.0851063829787,29.126213592233,0,89.3203883495146,100,4.85436893203883,0,95.1456310679612,100,62.4824382887417,66.6666666666667,0,0,19.6893203883495,20
1997,"Ancien député","COM/LFI",21,51.219512195122,14.2857142857143,0,57.6666666666667,56,66.430330930774,68.4210526315789,0,0,33.3333333333333,0,66.6666666666667,100,95.2380952380952,100,66.430330930774,68.4210526315789,0,0,21.2857142857143,20
1997,"Ancien député","Droite",128,81.5286624203822,3.90625,0,54.8515625,54,63.6645709204051,64.1098484848485,30.46875,0,82.03125,100,7.03125,0,99.21875,100,60.0756948200678,60.2083333333333,0,0,18.4921875,16
1997,"Ancien député","ECO/SOC/RAD",150,45.7317073170732,6,0,54.72,54,68.2096348075357,70,17.3333333333333,0,75.3333333333333,100,15.3333333333333,0,98.6666666666667,100,66.2000642287739,68.6291000841043,0,0,20,20
1997,"Ancien député","Non-inscrits",2,40,0,0,52.5,52.5,47.3505434782608,47.3505434782608,0,0,100,100,0,0,100,100,47.3505434782608,47.3505434782608,0,0,13,13
1997,"Primo-député","Centre",20,16.260162601626,10,0,45.65,44,56.549522201225,54.7008547008547,40,0,90,100,5,0,95,100,53.7656394173422,54.7008547008547,100,100,11.15,9.5
1997,"Primo-député","COM/LFI",20,48.780487804878,5,0,51.3,52.5,53.7871016322174,55.3376906318083,0,0,35,0,55,100,95,100,53.7871016322174,55.3376906318083,100,100,14.65,14
1997,"Primo-député","Droite",29,18.4713375796178,13.7931034482759,0,50.1379310344828,50,45.273417145771,42.4242424242424,17.2413793103448,0,89.6551724137931,100,10.3448275862069,0,89.6551724137931,100,43.5597803932021,40.5405405405405,100,100,11.4827586206897,12
1997,"Primo-député","ECO/SOC/RAD",178,54.2682926829268,24.1573033707865,0,48.3370786516854,49,50.9459868434003,52.9411764705882,25.8426966292135,0,66.8539325842697,100,22.4719101123596,0,89.3258426966292,100,45.0962782208536,45.6439393939394,100,100,11.6292134831461,12.5
1997,"Primo-député","Non-inscrits",3,60,0,0,57.6666666666667,61,62.6780626780627,72.2222222222222,33.3333333333333,0,66.6666666666667,100,33.3333333333333,0,100,100,61.7521367521367,72.2222222222222,100,100,20,20
1997,"Total","Centre",123,100,6.50406504065041,0,53.6585365853659,53,64.0701139059195,66.6666666666667,30.8943089430894,0,89.4308943089431,100,4.8780487804878,0,95.1219512195122,100,61.0650726185955,65.5172413793103,16.260162601626,0,18.3008130081301,20
1997,"Total","COM/LFI",41,100,9.75609756097561,0,54.5609756097561,54,60.2629020046489,63.6363636363636,0,0,34.1463414634146,0,60.9756097560976,100,95.1219512195122,100,60.2629020046489,63.6363636363636,48.780487804878,0,18.0487804878049,20
1997,"Total","Droite",157,100,5.73248407643312,0,53.9808917197452,53,60.2674788219058,60,28.0254777070064,0,83.4394904458599,100,7.64331210191083,0,97.4522292993631,100,57.0249845119206,56,18.4713375796178,0,17.1974522292994,15
1997,"Total","ECO/SOC/RAD",328,100,15.8536585365854,0,51.2560975609756,51,58.8409478026085,61.3171355498721,21.9512195121951,0,70.7317073170732,100,19.2073170731707,0,93.5975609756098,100,54.7473998708172,58.1989247311828,54.2682926829268,100,15.4573170731707,15
1997,"Total","Non-inscrits",5,100,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
2007,"Ancien député","Centre",21,80.7692307692308,0,0,53.5714285714286,53,73.723893087388,73.3333333333333,28.5714285714286,0,85.7142857142857,100,0,0,95.2380952380952,100,71.1750909578406,73.3333333333333,0,0,20.2380952380952,18
2007,"Ancien député","COM/LFI",19,73.0769230769231,21.0526315789474,0,61.3157894736842,61,73.7346975059823,80,5.26315789473684,0,36.8421052631579,0,57.8947368421053,100,100,100,73.7346975059823,80,0,0,26.7894736842105,30
2007,"Ancien député","Droite",281,76.1517615176152,13.1672597864769,0,56.5444839857651,57,69.4066593448001,69.4444444444444,28.8256227758007,0,76.8683274021352,100,9.25266903914591,0,97.864768683274,100,65.8929627502004,66.6666666666667,0,0,21.5871886120996,22
2007,"Ancien député","ECO/SOC/RAD",132,62.8571428571429,18.1818181818182,0,57.1818181818182,58,75.0049473745729,78.604118993135,37.8787878787879,0,65.9090909090909,100,15.9090909090909,0,98.4848484848485,100,69.8844495906798,70.5882352941177,0,0,23.8939393939394,24
2007,"Ancien député","Non-inscrits",5,62.5,20,0,51,52,89.0952178834182,93.75,60,100,60,100,20,0,100,100,85.2549721076886,93.75,0,0,23.4,27
2007,"Primo-député","Centre",5,19.2307692307692,20,0,56,61,66.7717717717718,66.6666666666667,20,0,40,0,20,0,100,100,61.7717717717718,66.6666666666667,100,100,18.6,13
2007,"Primo-député","COM/LFI",7,26.9230769230769,28.5714285714286,0,51.8571428571429,56,73.1019006635705,75,14.2857142857143,0,0,0,85.7142857142857,100,100,100,68.3399959016657,70.9677419354839,100,100,18.7142857142857,18
2007,"Primo-député","Droite",88,23.8482384823848,23.8636363636364,0,48.9545454545455,48,54.5143541431759,52.0869565217392,26.1363636363636,0,70.4545454545455,100,7.95454545454545,0,90.9090909090909,100,49.1047229433388,48,100,100,13.0568181818182,12
2007,"Primo-député","ECO/SOC/RAD",78,37.1428571428571,42.3076923076923,0,51.5,53,58.190988821702,62.5776397515528,28.2051282051282,0,61.5384615384615,100,24.3589743589744,0,91.025641025641,100,48.1899099824291,45.2991452991453,100,100,14.5641025641026,12
2007,"Primo-député","Non-inscrits",3,37.5,0,0,49.6666666666667,47,72.6430976430976,81.8181818181818,33.3333333333333,0,66.6666666666667,100,33.3333333333333,0,100,100,65.0673400673401,59.0909090909091,100,100,15.6666666666667,16
2007,"Total","Centre",26,100,3.84615384615385,0,54.0384615384615,53.5,72.3869466805388,70,26.9230769230769,0,76.9230769230769,100,3.84615384615385,0,96.1538461538462,100,69.366760345135,70,19.2307692307692,0,19.9230769230769,18
