"legis.annee","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien député",327,61.0074626865672,2.14067278287462,0,55.177370030581,56,56.7797708459846,57.5757575757576,14.9847094801223,0,72.782874617737,100,25.0764525993884,0,86.2385321100917,100,55.1003888841387,55.1724137931034,0,0,16.1345565749235,16
1978,"Primo-député",209,38.9925373134328,6.69856459330144,0,44.9904306220096,44,29.1288292607222,22.7272727272727,12.9186602870813,0,73.2057416267943,100,23.444976076555,0,70.8133971291866,100,26.7585713381388,18.5185185185185,100,100,5.7177033492823,5
1978,"Total",536,100,3.91791044776119,0,51.205223880597,53,45.9979671308357,44,14.1791044776119,0,72.9477611940299,100,24.4402985074627,0,80.2238805970149,100,44.0491951022096,42.4242424242424,38.9925373134328,0,12.0727611940299,11
1997,"Ancien député",404,61.7737003058104,5.69306930693069,0,55.029702970297,54,65.8907967867539,68.1334622823985,23.5148514851485,0,78.960396039604,100,12.6237623762376,0,97.7722772277228,100,63.2305142364553,65.2173913043478,0,0,19.4752475247525,20
1997,"Primo-député",250,38.2262996941896,20,0,48.68,49,51.1043256802226,51.8518518518518,24,0,68.8,100,22.4,0,90.4,100,46.5067295438496,47.4424552429667,100,100,11.916,13
1997,"Total",654,100,11.1620795107034,0,52.6024464831804,52,60.2384760273765,61.8347338935574,23.7003058103976,0,75.0764525993884,100,16.3608562691131,0,94.954128440367,100,56.8376301796488,58.578637510513,38.2262996941896,0,16.585626911315,16
2007,"Ancien député",458,71.6744913928013,14.410480349345,0,56.7292576419214,57.5,71.6125795331842,73.2520325203252,30.7860262008734,0,72.2707423580786,100,12.882096069869,0,98.0349344978166,100,67.8222290437616,68.9903846153846,0,0,22.4257641921397,24
2007,"Primo-député",181,28.3255086071987,31.4917127071823,0,50.3701657458564,51,57.4566947465491,60,26.5193370165746,0,62.9834254143646,100,18.7845303867403,0,91.7127071823204,100,50.068891977988,50,100,100,14.121546961326,12
2007,"Total",639,100,19.2488262910798,0,54.9280125195618,56,67.6028531695207,70.3703703703704,29.5774647887324,0,69.6400625978091,100,14.5539906103286,0,96.2441314553991,100,62.7935060251309,66.6666666666667,28.3255086071987,0,20.0735524256651,20
2012,"Ancien député",364,58.4269662921348,18.6813186813187,0,57.9423076923077,59,74.1789313260228,76.0869565217391,33.5164835164835,0,68.1318681318681,100,15.3846153846154,0,98.6263736263736,100,69.8400583295699,71.4285714285714,0,0,24.1126373626374,23
2012,"Primo-député",259,41.5730337078652,38.2239382239382,0,49.4131274131274,50,49.3065342867594,50,32.8185328185328,0,57.1428571428571,100,21.2355212355212,0,84.5559845559846,100,40.3240678278181,40.3703703703704,100,100,11.6447876447876,11
2012,"Total",623,100,26.8057784911718,0,54.3964686998395,55,63.8620849656852,68,33.2263242375602,0,63.5634028892456,100,17.8170144462279,0,92.776886035313,100,57.5970912082645,60.7142857142857,41.5730337078652,0,18.9293739967897,19
2017,"Ancien député",162,27.6923076923077,22.2222222222222,0,56.2716049382716,56,71.3364734809198,73.3333333333333,37.6543209876543,0,65.4320987654321,100,8.02469135802469,0,96.2962962962963,100,64.7900025387076,64.7058823529412,0,0,21.8395061728395,22
2017,"Primo-député",423,72.3076923076923,45.3900709219858,0,46.3924349881797,47,28.8609954305853,18.4697855750487,19.8581560283688,0,69.7399527186761,100,17.0212765957447,0,55.0827423167849,100,22.8683500473822,11.7692307692308,100,100,6.59101654846336,3
2017,"Total",585,100,38.974358974359,0,49.1282051282051,50,40.6840666404722,36.0555555555556,24.7863247863248,0,68.5470085470085,100,14.5299145299145,0,66.4957264957265,100,34.5372636274418,27.2727272727273,72.3076923076923,100,10.8136752136752,7
2022,"Ancien député",296,49.5812395309883,36.4864864864865,0,52.6554054054054,54,57.2069051840546,55.0509337860781,31.0810810810811,0,66.554054054054,100,11.8243243243243,0,71.9594594594595,100,51.1709706163321,50,0,0,15.5067567567568,13
2022,"Primo-député",301,50.4187604690117,39.202657807309,0,45.312292358804,45,40.5528668778477,36.3636363636364,32.2259136212625,0,53.4883720930233,100,25.2491694352159,0,70.7641196013289,100,30.0474508304429,20.9302325581395,100,100,7.30232558139535,6
2022,"Total",597,100,37.85594639866,0,48.9530988274707,50,48.8658438401365,47.0588235294118,31.6582914572864,0,59.9664991624791,100,18.5929648241206,0,71.356783919598,100,40.5913999984416,36.8421052631579,50.4187604690117,100,11.3701842546064,8
2024,"Ancien député",437,75.736568457539,37.5286041189931,0,50.6590389016018,52,53.3535768522058,51.4285714285714,32.0366132723112,0,59.954233409611,100,18.5354691075515,0,72.3112128146453,100,46.6470689667299,43.4782608695652,0,0,13.1029748283753,10
2024,"Primo-député",140,24.263431542461,29.2857142857143,0,46.4285714285714,46,41.4354142245493,40.5128205128205,37.1428571428571,0,58.5714285714286,100,16.4285714285714,0,62.1428571428571,100,31.0975328681171,23.5384615384616,100,100,8.22142857142857,5
2024,"Total",577,100,35.528596187175,0,49.632582322357,51,50.514925158053,50,33.2755632582322,0,59.6187175043328,100,18.0242634315425,0,69.844020797227,100,42.9435016998099,40.7407407407407,24.263431542461,0,11.9185441941075,10
