"legis.annee","ProfSigni","ProfSigni.1","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"agri","agri",27,Inf,0,0,50.5925925925926,48,59.0615385545648,63.6363636363636,0,0,100,100,0,0,88.8888888888889,100,59.0615385545648,63.6363636363636,48.1481481481481,0,14.2222222222222,13
1978,"artisancommercantpdg","artisancommercantpdg",21,Inf,4.76190476190476,0,57.5714285714286,55,44.6590275510107,55.1724137931034,4.76190476190476,0,100,100,0,0,57.1428571428571,100,44.6590275510107,55.1724137931034,23.8095238095238,0,13.7142857142857,16
1978,"cadsupprive","cadsupprive",75,Inf,2.66666666666667,0,50.1066666666667,51,38.4362134492125,37.5,16,0,100,100,0,0,72,100,37.0576526144226,35.4838709677419,48,0,10.4,9
1978,"cadsuppub","cadsuppub",165,Inf,1.81818181818182,0,49.3393939393939,50,44.3903497767744,41.6666666666667,29.0909090909091,0,100,100,0,0,80.6060606060606,100,40.0546046897445,39.3939393939394,42.4242424242424,0,10.8727272727273,10
1978,"collab","collab",10,Inf,0,0,43.6,45,53.9420954153249,56.7255434782608,80,100,0,0,0,0,80,100,40.5223261332993,35.248447204969,40,0,9,6.5
1978,"employe","employe",54,Inf,11.1111111111111,0,54.4444444444444,55.5,46.3836363177426,46.2962962962962,0,0,0,0,100,100,83.3333333333333,100,46.3836363177426,46.2962962962962,25.9259259259259,0,13.5740740740741,13
1978,"NA","NA",4,Inf,50,50,45.75,44,24.3777056277056,1.78571428571428,0,0,0,0,0,0,50,50,24.3777056277056,1.78571428571428,75,100,8,0.5
1978,"profinter","profinter",77,Inf,6.49350649350649,0,50.1818181818182,52,46.6162430564061,42.1052631578947,6.49350649350649,0,0,0,100,100,89.6103896103896,100,45.7308211190361,42.1052631578947,45.4545454545455,0,11.7402597402597,9
1978,"proflib","proflib",103,Inf,1.94174757281553,0,53.873786407767,56,50.3319095879542,54.8387096774194,1.94174757281553,0,100,100,0,0,80.5825242718447,100,50.1049520794433,54.8387096774194,28.1553398058252,0,14.2330097087379,13
1978,"Total","Total",536,100,3.91791044776119,0,51.205223880597,53,45.9979671308357,44,14.1791044776119,0,72.9477611940299,100,24.4402985074627,0,80.2238805970149,100,44.0491951022096,42.4242424242424,38.9925373134328,0,12.0727611940299,11
1997,"agri","agri",18,Inf,0,0,55.6111111111111,56.5,69.2796236830615,78.4615384615385,0,0,100,100,0,0,94.4444444444444,100,69.2796236830615,78.4615384615385,27.7777777777778,0,21.1111111111111,20
1997,"artisancommercantpdg","artisancommercantpdg",38,Inf,5.26315789473684,0,53.1052631578947,54.5,56.9171921367082,52.7777777777778,5.26315789473684,0,100,100,0,0,94.7368421052632,100,56.4387232371867,52.7777777777778,36.8421052631579,0,16.0789473684211,15
1997,"cadsupprive","cadsupprive",98,Inf,7.14285714285714,0,52.3061224489796,52,59.7117745984918,59.6296296296296,22.4489795918367,0,100,100,0,0,95.9183673469388,100,58.112656481501,57.1428571428571,30.6122448979592,0,15.969387755102,15.5
