"legis.annee","primodep","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien député","agri",14,51.8518518518519,0,0,57,56.5,66.727478346108,72.1407624633431,0,0,100,100,0,0,92.8571428571429,100,66.727478346108,72.1407624633431,0,0,19.2142857142857,20
1978,"Ancien député","artisancommercantpdg",16,76.1904761904762,6.25,0,58.9375,55.5,54.164216084944,58.8744588744588,6.25,0,100,100,0,0,62.5,100,54.164216084944,58.8744588744588,0,0,16.625,18
1978,"Ancien député","cadsupprive",39,52,0,0,55.1025641025641,55,50.3092753387389,51.5151515151515,15.3846153846154,0,100,100,0,0,79.4871794871795,100,49.9613103634102,51.5151515151515,0,0,14.8461538461538,16
1978,"Ancien député","cadsuppub",95,57.5757575757576,3.15789473684211,0,53.2315789473684,53,55.7497935299786,53.8461538461538,35.7894736842105,0,100,100,0,0,91.5789473684211,100,51.5947605546178,48.4848484848485,0,0,15.0315789473684,13
1978,"Ancien député","collab",6,60,0,0,45.3333333333333,46,66.3950085055634,74.8125,83.3333333333333,100,0,0,0,0,83.3333333333333,100,46.3275769435666,39.8571428571428,0,0,13,11.5
1978,"Ancien député","employe",40,74.0740740740741,5,0,57.3,57.5,55.8488179423211,51.9259259259259,0,0,0,0,100,100,85,100,55.8488179423211,51.9259259259259,0,0,16.875,16.5
1978,"Ancien député","NA",1,25,100,100,65,65,93.9393939393939,93.9393939393939,0,0,0,0,0,0,100,100,93.9393939393939,93.9393939393939,0,0,31,31
1978,"Ancien député","profinter",42,54.5454545454545,0,0,53.8095238095238,55,60.2016765018717,61.9696969696969,4.76190476190476,0,0,0,100,100,92.8571428571429,100,59.9311137313089,61.9696969696969,0,0,16.2619047619048,14
1978,"Ancien député","proflib",74,71.8446601941748,0,0,56.8513513513514,58,57.4749758530992,57.9545454545455,1.35135135135135,0,100,100,0,0,83.7837837837838,100,57.3521257302491,57.9545454545455,0,0,17.1216216216216,17
1978,"Primo-député","agri",13,48.1481481481481,0,0,43.6923076923077,42,50.8059110867492,61.9047619047619,0,0,100,100,0,0,84.6153846153846,100,50.8059110867492,61.9047619047619,100,100,8.84615384615385,11
1978,"Primo-député","artisancommercantpdg",5,23.8095238095238,0,0,53.2,55,14.2424242424242,0,0,0,100,100,0,0,40,0,14.2424242424242,0,100,100,4.4,0
1978,"Primo-député","cadsupprive",36,48,5.55555555555556,0,44.6944444444444,42.5,25.5737297355589,20.9375,16.6666666666667,0,100,100,0,0,63.8888888888889,100,23.0786900530193,12.5,100,100,5.58333333333333,2
