"legis.annee","genre","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Femmes","Jamais collaborateur",21,4.56521739130435,100,100,47.4761904761905,48,32.5965147480729,21.875,0,0,38.0952380952381,0,52.3809523809524,100,71.4285714285714,100,32.5965147480729,21.875,66.6666666666667,100,7.71428571428571,5
1978,"Hommes","Ancien collaborateur",76,100,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Hommes","Jamais collaborateur",439,95.4347826086957,0,0,51.7129840546697,53,44.8844387429845,42.4242424242424,0,0,72.8929384965831,100,26.1958997722096,0,80.8656036446469,100,44.8844387429845,42.4242424242424,38.2687927107062,0,12.004555808656,11
1978,"Total","Ancien collaborateur",76,100,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Total","Jamais collaborateur",460,100,4.56521739130435,0,51.5195652173913,53,44.3234682997386,42.1052631578947,0,0,71.304347826087,100,27.3913043478261,0,80.4347826086957,100,44.3234682997386,42.1052631578947,39.5652173913044,0,11.8086956521739,10.5
1997,"Femmes","Ancien collaborateur",18,11.6129032258065,100,100,48,49.5,58.4529056875548,63.3928571428572,100,100,66.6666666666667,100,0,0,66.6666666666667,100,26.7255305204867,27.4615384615385,66.6666666666667,100,13.5555555555556,14
1997,"Femmes","Jamais collaborateur",55,11.0220440881764,100,100,51.2181818181818,51,44.5969926051477,48.2758620689655,0,0,63.6363636363636,100,29.0909090909091,0,87.2727272727273,100,44.5969926051477,48.2758620689655,69.0909090909091,100,11.8727272727273,14
1997,"Hommes","Ancien collaborateur",137,88.3870967741936,0,0,49.043795620438,48,68.835718420794,73.3333333333333,100,100,64.963503649635,100,5.10948905109489,0,94.1605839416058,100,56.769583884979,61.5384615384615,35.036496350365,0,16.1605839416058,16
1997,"Hommes","Jamais collaborateur",444,88.9779559118236,0,0,54.0585585585586,54,59.59568243828,60.8695652173913,0,0,79.954954954955,100,18.9189189189189,0,97.2972972972973,100,59.59568243828,60.8695652173913,34.2342342342342,0,17.4234234234234,17
1997,"Total","Ancien collaborateur",155,100,11.6129032258065,0,48.9225806451613,48,67.6299724259663,72.4137931034483,100,100,65.1612903225806,100,4.51612903225806,0,90.9677419354839,100,53.2805970426509,56.25,38.7096774193548,0,15.858064516129,15
1997,"Total","Jamais collaborateur",499,100,11.0220440881764,0,53.7454909819639,53,57.9425202322234,58.8235294117647,0,0,78.1563126252505,100,20.0400801603206,0,96.1923847695391,100,57.9425202322234,58.8235294117647,38.0761523046092,0,16.811623246493,16
2007,"Femmes","Ancien collaborateur",29,15.3439153439153,100,100,49.3793103448276,49,67.7116428081134,69.047619047619,100,100,41.3793103448276,0,10.3448275862069,0,86.2068965517241,100,40.0745602765878,33.3333333333333,41.3793103448276,0,15.7586206896552,15
2007,"Femmes","Jamais collaborateur",94,20.8888888888889,100,100,54.9468085106383,56,51.7602595424068,52.1739130434783,0,0,62.7659574468085,100,30.8510638297872,0,94.6808510638298,100,51.7602595424068,52.1739130434783,47.8723404255319,0,15.7765957446809,15
2007,"Hommes","Ancien collaborateur",160,84.6560846560847,0,0,52.35,53,79.5950526673371,85.7142857142857,100,100,50.625,100,3.75,0,95.625,100,65.3969437182691,68.4962406015038,22.5,0,21.3625,21
2007,"Hommes","Jamais collaborateur",356,79.1111111111111,0,0,56.5337078651685,58,66.3873952531693,68.5714285714286,0,0,82.3033707865169,100,15.4494382022472,0,97.752808988764,100,66.3873952531693,68.5714285714286,24.7191011235955,0,20.9803370786517,22
2007,"Total","Ancien collaborateur",189,100,15.3439153439153,0,51.8941798941799,52,77.7716723185673,83.3333333333333,100,100,49.2063492063492,0,4.76190476190476,0,94.1798941798942,100,61.5114986399159,63.3333333333333,25.3968253968254,0,20.5026455026455,20
2007,"Total","Jamais collaborateur",450,100,20.8888888888889,0,56.2022222222222,57,63.3319491269211,66.6666666666667,0,0,78.2222222222222,100,18.6666666666667,0,97.1111111111111,100,63.3319491269211,66.6666666666667,29.5555555555556,0,19.8933333333333,19.5
2012,"Femmes","Ancien collaborateur",38,18.3574879227053,100,100,49.4736842105263,49.5,71.1447375153657,74.0853658536585,100,100,44.7368421052632,0,10.5263157894737,0,89.4736842105263,100,44.2835630730684,42.3076923076923,50,50,16.6842105263158,14.5
2012,"Femmes","Jamais collaborateur",129,31.0096153846154,100,100,53.8682170542636,56,43.0033924778368,44.2222222222222,0,0,56.5891472868217,100,35.6589147286822,0,87.5968992248062,100,43.0033924778368,44.2222222222222,62.015503875969,100,13.015503875969,11
2012,"Hommes","Ancien collaborateur",169,81.6425120772947,0,0,51.2781065088757,51,79.2455642449155,85.7142857142857,100,100,46.1538461538462,0,4.73372781065089,0,95.8579881656805,100,62.2272122430906,63.0434782608696,39.0532544378698,0,20.6686390532544,20
2012,"Hommes","Jamais collaborateur",287,68.9903846153846,0,0,57.1219512195122,59,63.1420983572072,68.5714285714286,0,0,79.4425087108014,100,18.4668989547038,0,93.7282229965157,100,63.1420983572072,68.5714285714286,32.7526132404181,0,20.8606271777003,23
2012,"Total","Ancien collaborateur",207,100,18.3574879227053,0,50.9468599033816,51,77.7584559563991,83.3333333333333,100,100,45.8937198067633,0,5.79710144927536,0,94.6859903381642,100,58.9332090138111,59.0909090909091,41.0628019323672,0,19.9371980676328,19
2012,"Total","Jamais collaborateur",416,100,31.0096153846154,0,56.1129807692308,57,56.9306420859797,62.1621621621622,0,0,72.3557692307692,100,23.7980769230769,0,91.8269230769231,100,56.9306420859797,62.1621621621622,41.8269230769231,0,18.4278846153846,18
2017,"Femmes","Ancien collaborateur",44,30.3448275862069,100,100,44.6590909090909,43,57.5306820114984,61.5789473684211,100,100,36.3636363636364,0,0,0,56.8181818181818,100,25.6211831241114,20.3125,77.2727272727273,100,11.6818181818182,10.5
2017,"Femmes","Jamais collaborateur",184,41.8181818181818,100,100,48.6684782608696,49,19.0470653949348,8.33333333333333,0,0,70.6521739130435,100,26.6304347826087,0,52.7173913043478,100,19.0470653949348,8.33333333333333,85.8695652173913,100,5.40217391304348,2
2017,"Hommes","Ancien collaborateur",101,69.6551724137931,0,0,49.0594059405941,49,76.5478628561508,84,100,100,37.6237623762376,0,4.95049504950495,0,81.1881188118812,100,55.0288390686392,61.5384615384615,49.5049504950495,0,18.6237623762376,19
2017,"Hommes","Jamais collaborateur",256,58.1818181818182,0,0,50.25390625,50.5,39.0938175610418,37.7976190476191,0,0,84.765625,100,12.109375,0,72.265625,100,39.0938175610418,37.7976190476191,70.703125,100,11.47265625,8
2017,"Total","Ancien collaborateur",145,100,30.3448275862069,0,47.7241379310345,48,70.7771321170838,80,100,100,37.2413793103448,0,3.44827586206897,0,73.7931034482759,100,46.1051365751273,50,57.9310344827586,100,16.5172413793103,16
2017,"Total","Jamais collaborateur",440,100,41.8181818181818,0,49.5909090909091,50,30.6989533816423,21.4285714285714,0,0,78.8636363636364,100,18.1818181818182,0,64.0909090909091,100,30.6989533816423,21.4285714285714,77.0454545454545,100,8.93409090909091,3.5
2022,"Femmes","Ancien collaborateur",58,30.6878306878307,100,100,46.4310344827586,46,63.0344012689311,69.570707070707,100,100,39.6551724137931,0,1.72413793103448,0,56.8965517241379,100,33.7158449279457,26.4912280701754,48.2758620689655,0,13.1206896551724,10.5
2022,"Femmes","Jamais collaborateur",168,41.1764705882353,100,100,50.4226190476191,50.5,31.3185981650311,27.7777777777778,0,0,65.4761904761905,100,30.3571428571429,0,67.8571428571429,100,31.3185981650311,27.7777777777778,53.5714285714286,100,8.09523809523809,5
2022,"Hommes","Ancien collaborateur",131,69.3121693121693,0,0,44.7328244274809,44,72.9350248179593,84,100,100,33.587786259542,0,6.10687022900763,0,74.0458015267176,100,48.4596894717917,50,52.6717557251908,100,13.9770992366412,10
