"legis.annee","elu.local","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien élu local","Ancien collaborateur",60,78.9473684210526,0,0,50.75,52.5,62.6739447960018,64.4009216589862,100,100,80,100,6.66666666666667,0,100,100,51.2826159015069,52.0733652312599,25,0,15.6,14
1978,"Ancien élu local","Jamais collaborateur",370,80.4347826086957,4.05405405405405,0,52.127027027027,53.5,51.4099547381325,51.5151515151515,0,0,69.7297297297297,100,29.7297297297297,0,100,100,51.4099547381325,51.5151515151515,35.9459459459459,0,13.6567567567568,13
1978,"Jamais élu local","Ancien collaborateur",16,21.0526315789474,0,0,43.875,40,31.6048922805041,28.5714285714286,100,100,93.75,100,6.25,0,0,0,9.03851267588753,0,75,100,6.4375,4.5
1978,"Jamais élu local","Jamais collaborateur",90,19.5652173913043,6.66666666666667,0,49.0222222222222,49.5,15.1901351641191,0,0,0,77.7777777777778,100,17.7777777777778,0,0,0,15.1901351641191,0,54.4444444444444,100,4.21111111111111,0
1978,"Total","Ancien collaborateur",76,100,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Total","Jamais collaborateur",460,100,4.56521739130435,0,51.5195652173913,53,44.3234682997386,42.1052631578947,0,0,71.304347826087,100,27.3913043478261,0,80.4347826086957,100,44.3234682997386,42.1052631578947,39.5652173913044,0,11.8086956521739,10.5
1997,"Ancien élu local","Ancien collaborateur",141,90.9677419354839,8.51063829787234,0,49.0141843971631,49,70.4705108801607,73.3333333333333,100,100,63.8297872340426,100,4.9645390070922,0,100,100,57.7654629116923,61.1111111111111,34.7517730496454,0,16.468085106383,16
1997,"Ancien élu local","Jamais collaborateur",480,96.1923847695391,10,0,53.9958333333333,54,59.7533825272405,60,0,0,78.5416666666667,100,20,0,100,100,59.7533825272405,60,36.875,0,17.3479166666667,16
1997,"Jamais élu local","Ancien collaborateur",14,9.03225806451613,42.8571428571429,0,48,45,39.0216922801509,28.2051282051282,100,100,78.5714285714286,100,0,0,0,0,8.11159079016222,0,78.5714285714286,100,9.71428571428571,6
1997,"Jamais élu local","Jamais collaborateur",19,3.80761523046092,36.8421052631579,0,47.4210526315789,46,12.194420147581,0,0,0,68.4210526315789,100,21.0526315789474,0,0,0,12.194420147581,0,68.4210526315789,100,3.26315789473684,0
1997,"Total","Ancien collaborateur",155,100,11.6129032258065,0,48.9225806451613,48,67.6299724259663,72.4137931034483,100,100,65.1612903225806,100,4.51612903225806,0,90.9677419354839,100,53.2805970426509,56.25,38.7096774193548,0,15.858064516129,15
1997,"Total","Jamais collaborateur",499,100,11.0220440881764,0,53.7454909819639,53,57.9425202322234,58.8235294117647,0,0,78.1563126252505,100,20.0400801603206,0,96.1923847695391,100,57.9425202322234,58.8235294117647,38.0761523046092,0,16.811623246493,16
2007,"Ancien élu local","Ancien collaborateur",178,94.1798941798942,14.0449438202247,0,52.4157303370786,53,79.1963202638363,83.6666666666667,100,100,48.876404494382,0,5.0561797752809,0,100,100,64.9784533479526,66.6666666666667,22.4719101123596,0,21.3595505617978,21
2007,"Ancien élu local","Jamais collaborateur",437,97.1111111111111,20.3661327231121,0,56.4530892448513,57,64.7662696852159,66.6666666666667,0,0,78.2608695652174,100,18.7643020594966,0,100,100,64.7662696852159,66.6666666666667,28.8329519450801,0,20.3890160183066,21
2007,"Jamais élu local","Ancien collaborateur",11,5.82010582010582,36.3636363636364,0,43.4545454545455,41,54.7182782951236,38.4615384615385,100,100,54.5454545454545,100,0,0,0,0,5.40986790986791,0,72.7272727272727,100,6.63636363636364,6
2007,"Jamais élu local","Jamais collaborateur",13,2.88888888888889,38.4615384615385,0,47.7692307692308,45,15.1167118980884,0,0,0,76.9230769230769,100,15.3846153846154,0,0,0,15.1167118980884,0,53.8461538461538,100,3.23076923076923,0
2007,"Total","Ancien collaborateur",189,100,15.3439153439153,0,51.8941798941799,52,77.7716723185673,83.3333333333333,100,100,49.2063492063492,0,4.76190476190476,0,94.1798941798942,100,61.5114986399159,63.3333333333333,25.3968253968254,0,20.5026455026455,20
2007,"Total","Jamais collaborateur",450,100,20.8888888888889,0,56.2022222222222,57,63.3319491269211,66.6666666666667,0,0,78.2222222222222,100,18.6666666666667,0,97.1111111111111,100,63.3319491269211,66.6666666666667,29.5555555555556,0,19.8933333333333,19.5
2012,"Ancien élu local","Ancien collaborateur",196,94.6859903381642,17.3469387755102,0,51.2602040816327,51,79.4320332543259,85.0925925925926,100,100,46.4285714285714,0,6.12244897959184,0,100,100,61.8366414248727,60.9126984126984,38.7755102040816,0,20.5816326530612,20
2012,"Ancien élu local","Jamais collaborateur",382,91.8269230769231,29.5811518324607,0,57.0130890052356,58.5,61.680534166045,64.7058823529412,0,0,72.5130890052356,100,23.8219895287958,0,100,100,61.680534166045,64.7058823529412,37.434554973822,0,20.0235602094241,20.5
2012,"Jamais élu local","Ancien collaborateur",11,5.31400966183575,36.3636363636364,0,45.3636363636364,46,47.9383513751585,39.1304347826087,100,100,36.3636363636364,0,0,0,0,0,7.19932241671372,0,81.8181818181818,100,8.45454545454546,9
2012,"Jamais élu local","Jamais collaborateur",34,8.17307692307692,47.0588235294118,0,46,47,1.94704285613376,0,0,0,70.5882352941177,100,23.5294117647059,0,0,0,1.94704285613376,0,91.1764705882353,100,0.5,0
2012,"Total","Ancien collaborateur",207,100,18.3574879227053,0,50.9468599033816,51,77.7584559563991,83.3333333333333,100,100,45.8937198067633,0,5.79710144927536,0,94.6859903381642,100,58.9332090138111,59.0909090909091,41.0628019323672,0,19.9371980676328,19
2012,"Total","Jamais collaborateur",416,100,31.0096153846154,0,56.1129807692308,57,56.9306420859797,62.1621621621622,0,0,72.3557692307692,100,23.7980769230769,0,91.8269230769231,100,56.9306420859797,62.1621621621622,41.8269230769231,0,18.4278846153846,18
