"legis.annee","ProfSigni","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"agri","Hommes",27,5.24271844660194,0,0,50.5925925925926,48,59.0615385545648,63.6363636363636,0,0,100,100,0,0,88.8888888888889,100,59.0615385545648,63.6363636363636,48.1481481481481,0,14.2222222222222,13
1978,"artisancommercantpdg","Femmes",1,4.76190476190476,100,100,51,51,15.3846153846154,15.3846153846154,0,0,100,100,0,0,0,0,15.3846153846154,15.3846153846154,0,0,4,4
1978,"artisancommercantpdg","Hommes",20,3.88349514563107,0,0,57.9,55.5,46.1227481593305,56.1576354679802,5,0,100,100,0,0,60,100,46.1227481593305,56.1576354679802,25,0,14.2,16
1978,"cadsupprive","Femmes",2,9.52380952380952,100,100,45,45,10.9375,10.9375,0,0,100,100,0,0,50,50,10.9375,10.9375,100,100,3.5,3.5
1978,"cadsupprive","Hommes",73,14.1747572815534,0,0,50.2465753424658,51,39.18960285878,40.625,16.4383561643836,0,100,100,0,0,72.6027397260274,100,37.7732732339958,40.625,46.5753424657534,0,10.5890410958904,10
1978,"cadsuppub","Femmes",3,14.2857142857143,100,100,55,53,57.7875023527197,60.7142857142857,0,0,100,100,0,0,100,100,57.7875023527197,60.7142857142857,0,0,17.3333333333333,17
1978,"cadsuppub","Hommes",162,31.4563106796117,0,0,49.2345679012346,49.5,44.1422543587014,41.2878787878788,29.6296296296296,0,100,100,0,0,80.2469135802469,100,39.7262176959857,39.3939393939394,43.2098765432099,0,10.7530864197531,9.5
1978,"collab","Hommes",10,1.94174757281553,0,0,43.6,45,53.9420954153249,56.7255434782608,80,100,0,0,0,0,80,100,40.5223261332993,35.248447204969,40,0,9,6.5
1978,"employe","Femmes",6,28.5714285714286,100,100,42.8333333333333,41,28.2806513409962,28.125,0,0,0,0,100,100,66.6666666666667,100,28.2806513409962,28.125,66.6666666666667,100,5.83333333333333,5
1978,"employe","Hommes",48,9.32038834951456,0,0,55.8958333333333,56.5,48.6465094398359,49.2424242424242,0,0,0,0,100,100,85.4166666666667,100,48.6465094398359,49.2424242424242,20.8333333333333,0,14.5416666666667,13
