"legis.annee","elu.local","groupe.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien élu local","Communiste",69,78.4090909090909,14.4927536231884,0,52.7391304347826,53,51.4015790066662,50,2.89855072463768,0,15.9420289855072,0,82.6086956521739,100,100,100,50.9435828964962,50,31.8840579710145,0,14.1014492753623,13
1978,"Ancien élu local","Non-inscrits",11,78.5714285714286,0,0,56.7272727272727,56,44.8504314193464,42.4242424242424,9.09090909090909,0,81.8181818181818,100,18.1818181818182,0,100,100,42.2530288219438,42.4242424242424,27.2727272727273,0,13.5454545454545,14
1978,"Ancien élu local","RPR/UMP/LR",137,78.7356321839081,1.45985401459854,0,54.1970802919708,56,60.1658689695213,60.6060606060606,24.8175182481752,0,85.4014598540146,100,10.9489051094891,0,100,100,57.3399391911229,57.5757575757576,23.3576642335766,0,16.4525547445255,16
1978,"Ancien élu local","Socialiste",103,85.1239669421488,0.970873786407767,0,48.6019417475728,48,46.5677974116875,40.9090909090909,6.79611650485437,0,70.873786407767,100,27.1844660194175,0,100,100,45.7099004934128,40,43.6893203883495,0,11.0485436893204,8
1978,"Ancien élu local","UDF/MODEM/UDI/NC/Dém",110,79.136690647482,1.81818181818182,0,51.2545454545455,53,51.844082377892,57.5757575757576,14.5454545454545,0,87.2727272727273,100,10.9090909090909,0,100,100,50.5005295481316,54.7727272727273,41.8181818181818,0,13.4090909090909,13
1978,"Jamais élu local","Communiste",19,21.5909090909091,15.7894736842105,0,44.7894736842105,44,16.4991516006501,0,0,0,42.1052631578947,0,52.6315789473684,100,0,0,16.4991516006501,0,57.8947368421053,100,4.36842105263158,0
1978,"Jamais élu local","Non-inscrits",3,21.4285714285714,33.3333333333333,0,43,45,8.33333333333333,0,0,0,33.3333333333333,0,33.3333333333333,0,0,0,8.33333333333333,0,66.6666666666667,100,1.66666666666667,0
1978,"Jamais élu local","RPR/UMP/LR",37,21.264367816092,2.7027027027027,0,52.5135135135135,54,24.1563620489607,17.2413793103448,10.8108108108108,0,97.2972972972973,100,2.7027027027027,0,0,0,20.397148289747,13.0434782608696,48.6486486486486,0,6.75675675675676,4
1978,"Jamais élu local","Socialiste",18,14.8760330578512,5.55555555555556,0,44.8888888888889,40.5,11.2429556802958,0,0,0,72.2222222222222,100,22.2222222222222,0,0,0,11.2429556802958,0,61.1111111111111,100,2.72222222222222,0
1978,"Jamais élu local","UDF/MODEM/UDI/NC/Dém",29,20.863309352518,0,0,47.6896551724138,50,15.1085504410193,17.2413793103448,41.3793103448276,0,93.1034482758621,100,3.44827586206897,0,0,0,7.45437235195185,0,65.5172413793103,100,3.27586206896552,2
1978,"Total","Communiste",88,100,14.7727272727273,0,51.0227272727273,52,43.8658276349128,41.8859649122807,2.27272727272727,0,21.5909090909091,0,76.1363636363636,100,78.4090909090909,100,43.5067170485294,41.8859649122807,37.5,0,12,8.5
1978,"Total","Non-inscrits",14,100,7.14285714285714,0,53.7857142857143,54,37.0253389723436,35.5734767025089,7.14285714285714,0,71.4285714285714,100,21.4285714285714,0,78.5714285714286,100,34.984522645813,35.5734767025089,35.7142857142857,0,11,9
1978,"Total","RPR/UMP/LR",174,100,1.72413793103448,0,53.8390804597701,55,52.5086749691722,56.3492063492063,21.8390804597701,0,87.9310344827586,100,9.19540229885057,0,78.7356321839081,100,49.4842882523245,51.6129032258065,28.735632183908,0,14.3908045977012,13.5
1978,"Total","Socialiste",121,100,1.65289256198347,0,48.0495867768595,47,41.3128622780921,35.7142857142857,5.78512396694215,0,71.0743801652893,100,26.4462809917355,0,85.1239669421488,100,40.5825863889822,35.7142857142857,46.2809917355372,0,9.8099173553719,7
1978,"Total","UDF/MODEM/UDI/NC/Dém",139,100,1.43884892086331,0,50.5107913669065,52,44.1798347076092,41.1764705882353,20.1438848920863,0,88.4892086330935,100,9.35251798561151,0,79.136690647482,100,41.5196766079214,40.625,46.7625899280576,0,11.294964028777,10
1997,"Ancien élu local","Communiste",39,95.1219512195122,10.2564102564103,0,54.5641025641026,54,62.3637054396031,64.5161290322581,0,0,35.8974358974359,0,58.974358974359,100,100,100,62.3637054396031,64.5161290322581,48.7179487179487,0,18.6923076923077,20
1997,"Ancien élu local","Non-inscrits",5,100,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
1997,"Ancien élu local","Radical",37,100,13.5135135135135,0,54.5405405405405,54,55.9598477437464,61.7647058823529,5.40540540540541,0,78.3783783783784,100,16.2162162162162,0,100,100,54.8163966002953,61.7647058823529,51.3513513513514,100,16.6756756756757,16
1997,"Ancien élu local","RPR/UMP/LR",153,97.4522292993631,5.88235294117647,0,54.2483660130719,54,61.6922696206686,60.6060606060606,28.1045751633987,0,83.0065359477124,100,7.84313725490196,0,100,100,58.3650042176119,57.1428571428571,16.9934640522876,0,17.6274509803922,15
1997,"Ancien élu local","Socialiste",270,92.7835051546392,13.3333333333333,0,51.2814814814815,51,61.9940996214834,63.6363636363636,22.5925925925926,0,70,100,20.3703703703704,0,100,100,58.6661862025498,60,51.8518518518519,100,16.1074074074074,16
1997,"Ancien élu local","UDF/MODEM/UDI/NC/Dém",117,95.1219512195122,5.12820512820513,0,53.4957264957265,53,65.4291225962515,68.0851063829787,29.0598290598291,0,88.8888888888889,100,5.12820512820513,0,100,100,62.5340964108768,66.6666666666667,16.2393162393162,0,18.5555555555556,20
1997,"Jamais élu local","Communiste",2,4.8780487804878,0,0,54.5,54.5,19.2972350230415,19.2972350230415,0,0,0,0,100,100,0,0,19.2972350230415,19.2972350230415,50,50,5.5,5.5
1997,"Jamais élu local","RPR/UMP/LR",4,2.54777070063694,0,0,43.75,42.5,5.76923076923078,0,25,0,100,100,0,0,0,0,5.76923076923078,0,75,100,0.75,0
1997,"Jamais élu local","Socialiste",21,7.21649484536082,52.3809523809524,100,45.1428571428571,45,23.3766483303086,8.33333333333333,42.8571428571429,0,66.6666666666667,100,9.52380952380952,0,0,0,4.24143851088822,0,90.4761904761905,100,4.95238095238095,3
1997,"Jamais élu local","UDF/MODEM/UDI/NC/Dém",6,4.8780487804878,33.3333333333333,0,56.8333333333333,55,37.5694444444444,36.6666666666667,66.6666666666667,100,100,100,0,0,0,0,32.4191086691087,29.1025641025641,16.6666666666667,0,13.3333333333333,10.5
1997,"Total","Communiste",41,100,9.75609756097561,0,54.5609756097561,54,60.2629020046489,63.6363636363636,0,0,34.1463414634146,0,60.9756097560976,100,95.1219512195122,100,60.2629020046489,63.6363636363636,48.780487804878,0,18.0487804878049,20
1997,"Total","Non-inscrits",5,100,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
1997,"Total","Radical",37,100,13.5135135135135,0,54.5405405405405,54,55.9598477437464,61.7647058823529,5.40540540540541,0,78.3783783783784,100,16.2162162162162,0,100,100,54.8163966002953,61.7647058823529,51.3513513513514,100,16.6756756756757,16
1997,"Total","RPR/UMP/LR",157,100,5.73248407643312,0,53.9808917197452,53,60.2674788219058,60,28.0254777070064,0,83.4394904458599,100,7.64331210191083,0,97.4522292993631,100,57.0249845119206,56,18.4713375796178,0,17.1974522292994,15
1997,"Total","Socialiste",291,100,16.1512027491409,0,50.8384879725086,51,59.207273239646,60.8695652173913,24.0549828178694,0,69.7594501718213,100,19.5876288659794,0,92.7835051546392,100,54.7386270907804,57.6923076923077,54.639175257732,100,15.3024054982818,15
1997,"Total","UDF/MODEM/UDI/NC/Dém",123,100,6.50406504065041,0,53.6585365853659,53,64.0701139059195,66.6666666666667,30.8943089430894,0,89.4308943089431,100,4.8780487804878,0,95.1219512195122,100,61.0650726185955,65.5172413793103,16.260162601626,0,18.3008130081301,20
2007,"Ancien élu local","Communiste",26,100,23.0769230769231,0,58.7692307692308,59,73.564329125333,79.0625,7.69230769230769,0,26.9230769230769,0,65.3846153846154,100,100,100,72.2822778432817,77.5240384615385,26.9230769230769,0,24.6153846153846,24
2007,"Ancien élu local","Non-inscrits",8,100,12.5,0,50.5,49.5,82.925672793298,92.0362903225806,50,50,62.5,100,25,0,100,100,77.6846100925579,87.1975806451613,37.5,0,20.5,18
2007,"Ancien élu local","RPR/UMP/LR",355,96.2059620596206,15.2112676056338,0,55.056338028169,56,67.6921553757274,68.75,27.887323943662,0,75.4929577464789,100,8.73239436619718,0,100,100,63.9162789205721,66.6666666666667,22.5352112676056,0,20.1746478873239,20
2007,"Ancien élu local","Socialiste",201,95.7142857142857,25.8706467661692,0,55.636815920398,57,69.3579659090545,72.4137931034483,33.3333333333333,0,64.6766169154229,100,19.9004975124378,0,100,100,64.1138987956843,68.5714285714286,35.3233830845771,0,21.0945273631841,23
2007,"Ancien élu local","UDF/MODEM/UDI/NC/Dém",25,96.1538461538462,4,0,53.6,53,74.0824245477603,73.3333333333333,24,0,76,100,4,0,100,100,71.6414307589404,73.3333333333333,20,0,20.24,18
2007,"Jamais élu local","RPR/UMP/LR",14,3.7940379403794,28.5714285714286,0,46.5714285714286,42,19.2728058646488,19.3936877076412,35.7142857142857,0,71.4285714285714,100,14.2857142857143,0,0,0,10.4899382155021,0,57.1428571428571,100,3.78571428571429,5
2007,"Jamais élu local","Socialiste",9,4.28571428571429,55.5555555555556,100,42.4444444444444,45,55.3998926462695,50,55.5555555555556,100,55.5555555555556,100,0,0,0,0,10.7407407407407,0,77.7777777777778,100,5.55555555555556,5
2007,"Jamais élu local","UDF/MODEM/UDI/NC/Dém",1,3.84615384615385,0,0,65,65,30,30,100,100,100,100,0,0,0,0,12.5,12.5,0,0,12,12
2007,"Total","Communiste",26,100,23.0769230769231,0,58.7692307692308,59,73.564329125333,79.0625,7.69230769230769,0,26.9230769230769,0,65.3846153846154,100,100,100,72.2822778432817,77.5240384615385,26.9230769230769,0,24.6153846153846,24
2007,"Total","Non-inscrits",8,100,12.5,0,50.5,49.5,82.925672793298,92.0362903225806,50,50,62.5,100,25,0,100,100,77.6846100925579,87.1975806451613,37.5,0,20.5,18
2007,"Total","RPR/UMP/LR",369,100,15.7181571815718,0,54.7344173441734,56,65.8551068847921,68.4210526315789,28.1842818428184,0,75.3387533875339,100,8.94308943089431,0,96.2059620596206,100,61.8892632840654,64.2857142857143,23.8482384823848,0,19.5528455284553,19
2007,"Total","Socialiste",210,100,27.1428571428571,0,55.0714285714286,56,68.7597627692209,72.10433244916,34.2857142857143,0,64.2857142857143,100,19.047619047619,0,95.7142857142857,100,61.8264777361867,66.6666666666667,37.1428571428571,0,20.4285714285714,21
2007,"Total","UDF/MODEM/UDI/NC/Dém",26,100,3.84615384615385,0,54.0384615384615,53.5,72.3869466805388,70,26.9230769230769,0,76.9230769230769,100,3.84615384615385,0,96.1538461538462,100,69.366760345135,70,19.2307692307692,0,19.9230769230769,18
2012,"Ancien élu local","Communiste",15,100,20,0,60.8666666666667,62,71.582859740587,81.0810810810811,13.3333333333333,0,46.6666666666667,0,33.3333333333333,0,100,100,68.967229756536,81.0810810810811,33.3333333333333,0,26.2,29
2012,"Ancien élu local","Écologiste",12,66.6666666666667,33.3333333333333,0,50.75,50,59.1185631465224,53.6251105216623,25,0,58.3333333333333,100,16.6666666666667,0,100,100,52.2348096451218,47.3937449879711,83.3333333333333,100,14,14
2012,"Ancien élu local","Non-inscrits",6,66.6666666666667,33.3333333333333,0,52.3333333333333,51,84.1540404040404,86.3782051282051,50,50,66.6666666666667,100,0,0,100,100,71.760878010878,71.1538461538462,16.6666666666667,0,22,21.5
2012,"Ancien élu local","Radical",19,95,26.3157894736842,0,54.1578947368421,54,64.0552918170642,73.9130434782609,15.7894736842105,0,57.8947368421053,100,31.5789473684211,0,100,100,58.4488844944098,65.9090909090909,57.8947368421053,100,18.8421052631579,17
2012,"Ancien élu local","RPR/UMP/LR",195,96.5346534653465,13.3333333333333,0,55.5128205128205,56,71.8009354267994,71.875,31.7948717948718,0,76.4102564102564,100,6.66666666666667,0,100,100,67.3423202612906,67.4418604651163,17.4358974358974,0,21.7076923076923,23
2012,"Ancien élu local","Socialiste",302,92.3547400611621,34.7682119205298,0,54.887417218543,56,63.9403257057972,66.6666666666667,36.7549668874172,0,57.6158940397351,100,24.1721854304636,0,100,100,56.9113889522786,56.3096500530223,50.6622516556291,100,18.9668874172185,17
2012,"Ancien élu local","UDF/MODEM/UDI/NC/Dém",29,90.625,6.89655172413793,0,53.7931034482759,53,79.8048743822379,82.7586206896552,41.3793103448276,0,55.1724137931034,100,13.7931034482759,0,100,100,74.5011593315818,77.2727272727273,17.2413793103448,0,23.1379310344828,23
2012,"Jamais élu local","Écologiste",6,33.3333333333333,83.3333333333333,100,46.8333333333333,46.5,13.8888888888889,0,16.6666666666667,0,66.6666666666667,100,16.6666666666667,0,0,0,0,0,100,100,1.66666666666667,0
2012,"Jamais élu local","Non-inscrits",3,33.3333333333333,33.3333333333333,0,42.3333333333333,40,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,100,100,0,0
2012,"Jamais élu local","Radical",1,5,0,0,48,48,39.1304347826087,39.1304347826087,100,100,0,0,0,0,0,0,0,0,100,100,9,9
2012,"Jamais élu local","RPR/UMP/LR",7,3.46534653465347,14.2857142857143,0,49.4285714285714,48,19.413030034148,21.2121212121212,28.5714285714286,0,71.4285714285714,100,28.5714285714286,0,0,0,12.6428436987443,0,57.1428571428571,100,5,5
2012,"Jamais élu local","Socialiste",25,7.64525993883792,52,100,44.08,40,13.3287720409672,0,28,0,64,100,16,0,0,0,2.1978021978022,0,92,100,2.24,0
2012,"Jamais élu local","UDF/MODEM/UDI/NC/Dém",3,9.375,0,0,53,51,0,0,0,0,66.6666666666667,100,33.3333333333333,0,0,0,0,0,100,100,0,0
2012,"Total","Communiste",15,100,20,0,60.8666666666667,62,71.582859740587,81.0810810810811,13.3333333333333,0,46.6666666666667,0,33.3333333333333,0,100,100,68.967229756536,81.0810810810811,33.3333333333333,0,26.2,29
2012,"Total","Écologiste",18,100,50,50,49.4444444444444,50,44.0420050606446,45.2558139534883,22.2222222222222,0,61.1111111111111,100,16.6666666666667,0,66.6666666666667,100,34.8232064300812,40.958605664488,88.8888888888889,100,9.88888888888889,11
2012,"Total","Non-inscrits",9,100,33.3333333333333,0,49,51,63.1155303030303,75,33.3333333333333,0,55.5555555555556,100,0,0,66.6666666666667,100,53.8206585081585,62.2377622377623,44.4444444444444,0,14.6666666666667,19
2012,"Total","Radical",20,100,25,0,53.85,53.5,62.8090489653415,73.6231884057971,20,0,55,100,30,0,95,100,55.5264402696893,59.0415019762846,60,100,18.35,17
2012,"Total","RPR/UMP/LR",202,100,13.3663366336634,0,55.3019801980198,56,69.9855129626976,71.4285714285714,31.6831683168317,0,76.2376237623762,100,7.42574257425743,0,96.5346534653465,100,65.4467938457568,66.260162601626,18.8118811881188,0,21.1287128712871,23
