"legis.annee","ProfSigni","groupe.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"agri","Communiste",3,3.40909090909091,0,0,55.3333333333333,54,40.2298850574713,20.6896551724138,0,0,100,100,0,0,66.6666666666667,100,40.2298850574713,20.6896551724138,33.3333333333333,0,13,6
1978,"agri","Non-inscrits",1,7.14285714285714,0,0,71,71,63.6363636363636,63.6363636363636,0,0,100,100,0,0,100,100,63.6363636363636,63.6363636363636,0,0,21,21
1978,"agri","RPR/UMP/LR",12,6.89655172413793,0,0,49.9166666666667,47.5,53.9835258499446,57.5,0,0,100,100,0,0,91.6666666666667,100,53.9835258499446,57.5,50,50,12.75,10.5
1978,"agri","UDF/MODEM/UDI/NC/Dém",11,7.9136690647482,0,0,48.1818181818182,46,69.3212010877398,80.6451612903226,0,0,100,100,0,0,90.9090909090909,100,69.3212010877398,80.6451612903226,54.5454545454545,100,15.5454545454545,13
1978,"artisancommercantpdg","Non-inscrits",1,7.14285714285714,0,0,47,47,13.6363636363636,13.6363636363636,0,0,100,100,0,0,100,100,13.6363636363636,13.6363636363636,100,100,3,3
1978,"artisancommercantpdg","RPR/UMP/LR",13,7.47126436781609,7.69230769230769,0,58.1538461538462,55,45.0639600267392,39.3939393939394,7.69230769230769,0,100,100,0,0,46.1538461538462,0,45.0639600267392,39.3939393939394,23.0769230769231,0,13.8461538461538,13
1978,"artisancommercantpdg","UDF/MODEM/UDI/NC/Dém",7,5.03597122302158,0,0,58,57,48.3388192267503,57.5757575757576,0,0,100,100,0,0,71.4285714285714,100,48.3388192267503,57.5757575757576,14.2857142857143,0,15,19
1978,"cadsupprive","Communiste",3,3.40909090909091,33.3333333333333,0,42.3333333333333,44,24.3508771929825,21.0526315789474,0,0,100,100,0,0,66.6666666666667,100,24.3508771929825,21.0526315789474,33.3333333333333,0,5.66666666666667,4
1978,"cadsupprive","Non-inscrits",1,7.14285714285714,0,0,45,45,25,25,0,0,100,100,0,0,0,0,25,25,0,0,5,5
1978,"cadsupprive","RPR/UMP/LR",29,16.6666666666667,0,0,54.9310344827586,57,44.5468229088919,48.4848484848485,20.6896551724138,0,100,100,0,0,72.4137931034483,100,43.0131744105604,48.4848484848485,34.4827586206897,0,13.4137931034483,16
1978,"cadsupprive","Socialiste",13,10.7438016528926,0,0,44.5384615384615,42,28.6090753154114,21.7391304347826,0,0,100,100,0,0,76.9230769230769,100,28.6090753154114,21.7391304347826,61.5384615384615,100,6.84615384615385,5
1978,"cadsupprive","UDF/MODEM/UDI/NC/Dém",29,20.863309352518,3.44827586206897,0,48.7586206896552,51,38.6512942639234,33.3333333333333,20.6896551724138,0,100,100,0,0,72.4137931034483,100,36.6196992240049,33.3333333333333,58.6206896551724,100,9.6551724137931,7
1978,"cadsuppub","Communiste",11,12.5,18.1818181818182,0,49.5454545454545,48,29.0012490803005,25,0,0,100,100,0,0,54.5454545454545,100,29.0012490803005,25,54.5454545454545,100,8.09090909090909,6
1978,"cadsuppub","Non-inscrits",4,28.5714285714286,0,0,52.5,54.5,51.6882535027696,49.7474747474747,25,0,100,100,0,0,100,100,44.5453963599125,42.6587301587302,0,0,14.5,15
1978,"cadsuppub","RPR/UMP/LR",58,33.3333333333333,1.72413793103448,0,51.8448275862069,53,55.5778533699897,57.9796264855688,43.1034482758621,0,100,100,0,0,82.7586206896552,100,49.2314182000648,51.5151515151515,32.7586206896552,0,14.2241379310345,13
1978,"cadsuppub","Socialiste",51,42.1487603305785,0,0,46.3921568627451,44,40.6608073773278,35.7142857142857,9.80392156862745,0,100,100,0,0,90.1960784313726,100,39.4543995170699,34.375,47.0588235294118,0,8.98039215686275,7
1978,"cadsuppub","UDF/MODEM/UDI/NC/Dém",41,29.4964028776978,0,0,49.0975609756098,50,36.6201045748849,30,41.4634146341463,0,100,100,0,0,70.7317073170732,100,30.346776036843,21.2121212121212,51.219512195122,100,8.87804878048781,7
1978,"collab","RPR/UMP/LR",4,2.29885057471264,0,0,43.25,44.5,83.8348214285714,84.8571428571428,100,100,0,0,0,0,100,100,59.7723214285714,51.6875,25,0,14,16.5
1978,"collab","Socialiste",3,2.47933884297521,0,0,46.3333333333333,48,21.6891554222888,17.2413793103448,66.6666666666667,100,0,0,0,0,66.6666666666667,100,12.7436281859071,3.44827586206897,66.6666666666667,100,5.33333333333333,5
1978,"collab","UDF/MODEM/UDI/NC/Dém",3,2.15827338129496,0,0,41.3333333333333,44,46.338067390699,26.3157894736842,66.6666666666667,100,0,0,0,0,66.6666666666667,100,42.6343636869953,26.3157894736842,33.3333333333333,0,6,5
1978,"employe","Communiste",45,51.1363636363636,13.3333333333333,0,54.1333333333333,54,47.7552720922175,48.1481481481481,0,0,0,0,100,100,82.2222222222222,100,47.7552720922175,48.1481481481481,24.4444444444444,0,13.8666666666667,13
1978,"employe","RPR/UMP/LR",3,1.72413793103448,0,0,56.6666666666667,61,38.5858585858586,48.4848484848485,0,0,0,0,100,100,100,100,38.5858585858586,48.4848484848485,33.3333333333333,0,12.3333333333333,16
