"legis.annee","cabcollab","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien collaborateur","Ancien élu local",60,13.953488372093,0,0,50.75,52.5,62.6739447960018,64.4009216589862,100,100,80,100,6.66666666666667,0,100,100,51.2826159015069,52.0733652312599,25,0,15.6,14
1978,"Ancien collaborateur","Jamais élu local",16,15.0943396226415,0,0,43.875,40,31.6048922805041,28.5714285714286,100,100,93.75,100,6.25,0,0,0,9.03851267588753,0,75,100,6.4375,4.5
1978,"Jamais collaborateur","Ancien élu local",370,86.046511627907,4.05405405405405,0,52.127027027027,53.5,51.4099547381325,51.5151515151515,0,0,69.7297297297297,100,29.7297297297297,0,100,100,51.4099547381325,51.5151515151515,35.9459459459459,0,13.6567567567568,13
1978,"Jamais collaborateur","Jamais élu local",90,84.9056603773585,6.66666666666667,0,49.0222222222222,49.5,15.1901351641191,0,0,0,77.7777777777778,100,17.7777777777778,0,0,0,15.1901351641191,0,54.4444444444444,100,4.21111111111111,0
1978,"Total","Ancien élu local",430,100,3.48837209302326,0,51.9348837209302,53,52.981674281091,53.2291666666667,13.953488372093,0,71.1627906976744,100,26.5116279069767,0,100,100,51.3921865283708,51.5151515151515,34.4186046511628,0,13.9279069767442,13
1978,"Total","Jamais élu local",106,100,5.66037735849057,0,48.2452830188679,49,17.667834351498,14.7186147186147,15.0943396226415,0,80.188679245283,100,16.0377358490566,0,0,0,14.2615883734426,0,57.5471698113208,100,4.54716981132075,2
1997,"Ancien collaborateur","Ancien élu local",141,22.7053140096618,8.51063829787234,0,49.0141843971631,49,70.4705108801607,73.3333333333333,100,100,63.8297872340426,100,4.9645390070922,0,100,100,57.7654629116923,61.1111111111111,34.7517730496454,0,16.468085106383,16
1997,"Ancien collaborateur","Jamais élu local",14,42.4242424242424,42.8571428571429,0,48,45,39.0216922801509,28.2051282051282,100,100,78.5714285714286,100,0,0,0,0,8.11159079016222,0,78.5714285714286,100,9.71428571428571,6
1997,"Jamais collaborateur","Ancien élu local",480,77.2946859903382,10,0,53.9958333333333,54,59.7533825272405,60,0,0,78.5416666666667,100,20,0,100,100,59.7533825272405,60,36.875,0,17.3479166666667,16
1997,"Jamais collaborateur","Jamais élu local",19,57.5757575757576,36.8421052631579,0,47.4210526315789,46,12.194420147581,0,0,0,68.4210526315789,100,21.0526315789474,0,0,0,12.194420147581,0,68.4210526315789,100,3.26315789473684,0
1997,"Total","Ancien élu local",621,100,9.66183574879227,0,52.8647342995169,52,62.1867401725895,63.6363636363636,22.7053140096618,0,75.2012882447665,100,16.5861513687601,0,100,100,59.3020191362706,60.4166666666667,36.3929146537842,0,17.1481481481481,16
1997,"Total","Jamais élu local",33,100,39.3939393939394,0,47.6666666666667,45,23.5756871129137,16.1290322580645,42.4242424242424,0,72.7272727272727,100,12.1212121212121,0,0,0,10.4623107232215,0,72.7272727272727,100,6,3
2007,"Ancien collaborateur","Ancien élu local",178,28.9430894308943,14.0449438202247,0,52.4157303370786,53,79.1963202638363,83.6666666666667,100,100,48.876404494382,0,5.0561797752809,0,100,100,64.9784533479526,66.6666666666667,22.4719101123596,0,21.3595505617978,21
2007,"Ancien collaborateur","Jamais élu local",11,45.8333333333333,36.3636363636364,0,43.4545454545455,41,54.7182782951236,38.4615384615385,100,100,54.5454545454545,100,0,0,0,0,5.40986790986791,0,72.7272727272727,100,6.63636363636364,6
2007,"Jamais collaborateur","Ancien élu local",437,71.0569105691057,20.3661327231121,0,56.4530892448513,57,64.7662696852159,66.6666666666667,0,0,78.2608695652174,100,18.7643020594966,0,100,100,64.7662696852159,66.6666666666667,28.8329519450801,0,20.3890160183066,21
2007,"Jamais collaborateur","Jamais élu local",13,54.1666666666667,38.4615384615385,0,47.7692307692308,45,15.1167118980884,0,0,0,76.9230769230769,100,15.3846153846154,0,0,0,15.1167118980884,0,53.8461538461538,100,3.23076923076923,0
2007,"Total","Ancien élu local",615,100,18.5365853658537,0,55.2845528455285,56,68.9427721291093,70.5882352941177,28.9430894308943,0,69.7560975609756,100,14.7967479674797,0,100,100,64.8276821924795,66.6666666666667,26.9918699186992,0,20.669918699187,21
2007,"Total","Jamais élu local",24,100,37.5,0,45.7916666666667,43.5,33.2674298300629,24.6963562753036,45.8333333333333,0,66.6666666666667,100,8.33333333333333,0,0,0,10.6677417368207,0,62.5,100,4.79166666666667,5
2012,"Ancien collaborateur","Ancien élu local",196,33.9100346020761,17.3469387755102,0,51.2602040816327,51,79.4320332543259,85.0925925925926,100,100,46.4285714285714,0,6.12244897959184,0,100,100,61.8366414248727,60.9126984126984,38.7755102040816,0,20.5816326530612,20
2012,"Ancien collaborateur","Jamais élu local",11,24.4444444444444,36.3636363636364,0,45.3636363636364,46,47.9383513751585,39.1304347826087,100,100,36.3636363636364,0,0,0,0,0,7.19932241671372,0,81.8181818181818,100,8.45454545454546,9
2012,"Jamais collaborateur","Ancien élu local",382,66.0899653979239,29.5811518324607,0,57.0130890052356,58.5,61.680534166045,64.7058823529412,0,0,72.5130890052356,100,23.8219895287958,0,100,100,61.680534166045,64.7058823529412,37.434554973822,0,20.0235602094241,20.5
2012,"Jamais collaborateur","Jamais élu local",34,75.5555555555556,47.0588235294118,0,46,47,1.94704285613376,0,0,0,70.5882352941177,100,23.5294117647059,0,0,0,1.94704285613376,0,91.1764705882353,100,0.5,0
2012,"Total","Ancien élu local",578,100,25.4325259515571,0,55.0622837370242,56,67.7000736492683,70.7317073170732,33.9100346020761,0,63.6678200692042,100,17.8200692041523,0,100,100,61.7334701915298,63.8888888888889,37.8892733564014,0,20.2128027681661,20
2012,"Total","Jamais élu local",45,100,44.4444444444444,0,45.8444444444444,46,13.4448699858899,0,24.4444444444444,0,62.2222222222222,100,17.7777777777778,0,0,0,3.26011274627875,0,88.8888888888889,100,2.44444444444444,0
