"legis.annee","elu.local","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien élu local","agri",24,88.8888888888889,0,0,50.5416666666667,48,65.8129177425723,76.9892473118279,0,0,100,100,0,0,100,100,65.8129177425723,76.9892473118279,45.8333333333333,0,15.7916666666667,13
1978,"Ancien élu local","artisancommercantpdg",12,57.1428571428571,0,0,57.0833333333333,55.5,61.1086206695912,59.0909090909091,8.33333333333333,0,100,100,0,0,100,100,61.1086206695912,59.0909090909091,16.6666666666667,0,18.5833333333333,19.5
1978,"Ancien élu local","cadsupprive",54,72,1.85185185185185,0,51.3703703703704,54.5,46.9427293616665,49.2424242424242,14.8148148148148,0,100,100,0,0,100,100,46.5820662792293,49.2424242424242,42.5925925925926,0,12.8703703703704,13
1978,"Ancien élu local","cadsuppub",133,80.6060606060606,2.25563909774436,0,49.8721804511278,50,50.6488360910298,45.4545454545455,29.3233082706767,0,100,100,0,0,100,100,46.9956694033398,43.75,34.5864661654135,0,12.4511278195489,11
1978,"Ancien élu local","collab",8,80,0,0,44.375,47,64.1381455849456,74.8125,100,100,0,0,0,0,100,100,47.3634339824136,39.8571428571428,37.5,0,10.625,9.5
1978,"Ancien élu local","employe",45,83.3333333333333,8.88888888888889,0,55.8222222222222,57,51.1385832243853,50,0,0,0,0,100,100,100,100,51.1385832243853,50,24.4444444444444,0,15.2666666666667,14
1978,"Ancien élu local","NA",2,50,100,100,59,59,48.7554112554112,48.7554112554112,0,0,0,0,0,0,100,100,48.7554112554112,48.7554112554112,50,50,16,16
1978,"Ancien élu local","profinter",69,89.6103896103896,5.79710144927536,0,50.8405797101449,53,50.359912457247,43.75,5.79710144927536,0,0,0,100,100,100,100,49.7231723857243,43.75,43.4782608695652,0,12.6811594202899,12
1978,"Ancien élu local","proflib",83,80.5825242718447,1.20481927710843,0,54.6265060240964,56,57.9688878257541,57.5757575757576,0,0,100,100,0,0,100,100,57.9688878257541,57.5757575757576,25.3012048192771,0,16.3493975903614,16
1978,"Jamais élu local","agri",3,11.1111111111111,0,0,51,49,5.05050505050507,0,0,0,100,100,0,0,0,0,5.05050505050507,0,66.6666666666667,100,1.66666666666667,0
1978,"Jamais élu local","artisancommercantpdg",9,42.8571428571429,11.1111111111111,0,58.2222222222222,55,22.7262367262367,6.06060606060606,0,0,100,100,0,0,0,0,22.7262367262367,6.06060606060606,33.3333333333333,0,7.22222222222222,2
1978,"Jamais élu local","cadsupprive",21,28,4.76190476190476,0,46.8571428571429,48,16.5623153886165,19.2307692307692,19.047619047619,0,100,100,0,0,0,0,12.5663031906339,0,61.9047619047619,100,4.04761904761905,2
1978,"Jamais élu local","cadsuppub",32,19.3939393939394,0,0,47.125,48.5,18.3785160331508,3.03030303030303,28.125,0,100,100,0,0,0,0,11.2058044738639,0,75,100,4.3125,1
1978,"Jamais élu local","collab",2,20,0,0,40.5,40.5,13.1578947368421,13.1578947368421,0,0,0,0,0,0,0,0,13.1578947368421,13.1578947368421,50,50,2.5,2.5
1978,"Jamais élu local","employe",9,16.6666666666667,22.2222222222222,0,47.5555555555556,52,22.608901784529,25,0,0,0,0,100,100,0,0,22.608901784529,25,33.3333333333333,0,5.11111111111111,5
1978,"Jamais élu local","NA",2,50,0,0,32.5,32.5,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
1978,"Jamais élu local","profinter",8,10.3896103896104,12.5,0,44.5,41.5,14.3270944741533,8.8235294117647,12.5,0,0,0,100,100,0,0,11.2967914438503,6.06060606060605,62.5,100,3.625,1.5
1978,"Jamais élu local","proflib",20,19.4174757281553,5,0,50.75,52.5,18.6384499010847,16.19644723093,10,0,100,100,0,0,0,0,17.4696187322535,16.19644723093,40,0,5.45,5
1978,"Total","agri",27,100,0,0,50.5925925925926,48,59.0615385545648,63.6363636363636,0,0,100,100,0,0,88.8888888888889,100,59.0615385545648,63.6363636363636,48.1481481481481,0,14.2222222222222,13
1978,"Total","artisancommercantpdg",21,100,4.76190476190476,0,57.5714285714286,55,44.6590275510107,55.1724137931034,4.76190476190476,0,100,100,0,0,57.1428571428571,100,44.6590275510107,55.1724137931034,23.8095238095238,0,13.7142857142857,16
1978,"Total","cadsupprive",75,100,2.66666666666667,0,50.1066666666667,51,38.4362134492125,37.5,16,0,100,100,0,0,72,100,37.0576526144226,35.4838709677419,48,0,10.4,9
1978,"Total","cadsuppub",165,100,1.81818181818182,0,49.3393939393939,50,44.3903497767744,41.6666666666667,29.0909090909091,0,100,100,0,0,80.6060606060606,100,40.0546046897445,39.3939393939394,42.4242424242424,0,10.8727272727273,10
1978,"Total","collab",10,100,0,0,43.6,45,53.9420954153249,56.7255434782608,80,100,0,0,0,0,80,100,40.5223261332993,35.248447204969,40,0,9,6.5
