"legis.annee","cabcollab","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien collaborateur","Ancien député",49,14.9847094801223,0,0,53.0612244897959,55,65.7230529965872,66.6666666666667,100,100,85.7142857142857,100,4.08163265306122,0,91.8367346938775,100,54.5157488838601,54.5454545454545,0,0,17.6734693877551,18
1978,"Ancien collaborateur","Primo-député",27,12.9186602870813,0,0,42.4814814814815,41,38.729087682052,28.5714285714286,100,100,77.7777777777778,100,11.1111111111111,0,55.5555555555556,100,20.3815356146471,9.52380952380952,100,100,6.40740740740741,5
1978,"Jamais collaborateur","Ancien député",278,85.0152905198777,2.51798561151079,0,55.5503597122302,56,55.2034369417417,55.3639846743295,0,0,70.5035971223022,100,28.7769784172662,0,85.2517985611511,100,55.2034369417417,55.3639846743295,0,0,15.863309352518,15.5
1978,"Jamais collaborateur","Primo-député",182,87.0813397129187,7.69230769230769,0,45.3626373626374,45,27.7046150993162,21.3203463203463,0,0,72.5274725274725,100,25.2747252747253,0,73.0769230769231,100,27.7046150993162,21.3203463203463,100,100,5.61538461538461,4
1978,"Total","Ancien député",327,100,2.14067278287462,0,55.177370030581,56,56.7797708459846,57.5757575757576,14.9847094801223,0,72.782874617737,100,25.0764525993884,0,86.2385321100917,100,55.1003888841387,55.1724137931034,0,0,16.1345565749235,16
1978,"Total","Primo-député",209,100,6.69856459330144,0,44.9904306220096,44,29.1288292607222,22.7272727272727,12.9186602870813,0,73.2057416267943,100,23.444976076555,0,70.8133971291866,100,26.7585713381388,18.5185185185185,100,100,5.7177033492823,5
1997,"Ancien collaborateur","Ancien député",95,23.5148514851485,6.31578947368421,0,52,51,71.748092091859,75,100,100,63.1578947368421,100,5.26315789473684,0,96.8421052631579,100,60.4348905095365,64.2857142857143,0,0,18.8315789473684,18
1997,"Ancien collaborateur","Primo-député",60,24,20,0,44.05,42.5,61.1096162883027,62.6984126984127,100,100,68.3333333333333,100,3.33333333333333,0,81.6666666666667,100,41.952965720082,36.8055555555556,100,100,11.15,11
1997,"Jamais collaborateur","Ancien député",309,76.4851485148515,5.50161812297735,0,55.9611650485437,55,64.0900102042782,65.3846153846154,0,0,83.8187702265372,100,14.8867313915858,0,98.0582524271845,100,64.0900102042782,65.3846153846154,0,0,19.6731391585761,20
1997,"Jamais collaborateur","Primo-député",190,76,20,0,50.1421052631579,50,47.9447602250394,50,0,0,68.9473684210526,100,28.4210526315789,0,93.1578947368421,100,47.9447602250394,50,100,100,12.1578947368421,14
