"legis.annee","elu.local","tendance.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Ancien élu local","Centre",110,79.136690647482,1.81818181818182,0,51.2545454545455,53,51.844082377892,57.5757575757576,14.5454545454545,0,87.2727272727273,100,10.9090909090909,0,100,100,50.5005295481316,54.7727272727273,41.8181818181818,0,13.4090909090909,13
1978,"Ancien élu local","COM/LFI",69,78.4090909090909,14.4927536231884,0,52.7391304347826,53,51.4015790066662,50,2.89855072463768,0,15.9420289855072,0,82.6086956521739,100,100,100,50.9435828964962,50,31.8840579710145,0,14.1014492753623,13
1978,"Ancien élu local","Droite",137,78.7356321839081,1.45985401459854,0,54.1970802919708,56,60.1658689695213,60.6060606060606,24.8175182481752,0,85.4014598540146,100,10.9489051094891,0,100,100,57.3399391911229,57.5757575757576,23.3576642335766,0,16.4525547445255,16
1978,"Ancien élu local","ECO/SOC/RAD",103,85.1239669421488,0.970873786407767,0,48.6019417475728,48,46.5677974116875,40.9090909090909,6.79611650485437,0,70.873786407767,100,27.1844660194175,0,100,100,45.7099004934128,40,43.6893203883495,0,11.0485436893204,8
1978,"Ancien élu local","Non-inscrits",11,78.5714285714286,0,0,56.7272727272727,56,44.8504314193464,42.4242424242424,9.09090909090909,0,81.8181818181818,100,18.1818181818182,0,100,100,42.2530288219438,42.4242424242424,27.2727272727273,0,13.5454545454545,14
1978,"Jamais élu local","Centre",29,20.863309352518,0,0,47.6896551724138,50,15.1085504410193,17.2413793103448,41.3793103448276,0,93.1034482758621,100,3.44827586206897,0,0,0,7.45437235195185,0,65.5172413793103,100,3.27586206896552,2
1978,"Jamais élu local","COM/LFI",19,21.5909090909091,15.7894736842105,0,44.7894736842105,44,16.4991516006501,0,0,0,42.1052631578947,0,52.6315789473684,100,0,0,16.4991516006501,0,57.8947368421053,100,4.36842105263158,0
1978,"Jamais élu local","Droite",37,21.264367816092,2.7027027027027,0,52.5135135135135,54,24.1563620489607,17.2413793103448,10.8108108108108,0,97.2972972972973,100,2.7027027027027,0,0,0,20.397148289747,13.0434782608696,48.6486486486486,0,6.75675675675676,4
1978,"Jamais élu local","ECO/SOC/RAD",18,14.8760330578512,5.55555555555556,0,44.8888888888889,40.5,11.2429556802958,0,0,0,72.2222222222222,100,22.2222222222222,0,0,0,11.2429556802958,0,61.1111111111111,100,2.72222222222222,0
1978,"Jamais élu local","Non-inscrits",3,21.4285714285714,33.3333333333333,0,43,45,8.33333333333333,0,0,0,33.3333333333333,0,33.3333333333333,0,0,0,8.33333333333333,0,66.6666666666667,100,1.66666666666667,0
1978,"Total","Centre",139,100,1.43884892086331,0,50.5107913669065,52,44.1798347076092,41.1764705882353,20.1438848920863,0,88.4892086330935,100,9.35251798561151,0,79.136690647482,100,41.5196766079214,40.625,46.7625899280576,0,11.294964028777,10
1978,"Total","COM/LFI",88,100,14.7727272727273,0,51.0227272727273,52,43.8658276349128,41.8859649122807,2.27272727272727,0,21.5909090909091,0,76.1363636363636,100,78.4090909090909,100,43.5067170485294,41.8859649122807,37.5,0,12,8.5
1978,"Total","Droite",174,100,1.72413793103448,0,53.8390804597701,55,52.5086749691722,56.3492063492063,21.8390804597701,0,87.9310344827586,100,9.19540229885057,0,78.7356321839081,100,49.4842882523245,51.6129032258065,28.735632183908,0,14.3908045977012,13.5
1978,"Total","ECO/SOC/RAD",121,100,1.65289256198347,0,48.0495867768595,47,41.3128622780921,35.7142857142857,5.78512396694215,0,71.0743801652893,100,26.4462809917355,0,85.1239669421488,100,40.5825863889822,35.7142857142857,46.2809917355372,0,9.8099173553719,7
1978,"Total","Non-inscrits",14,100,7.14285714285714,0,53.7857142857143,54,37.0253389723436,35.5734767025089,7.14285714285714,0,71.4285714285714,100,21.4285714285714,0,78.5714285714286,100,34.984522645813,35.5734767025089,35.7142857142857,0,11,9
