"legis.annee","ProfSigni","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"agri","Ancien élu local",24,5.58139534883721,0,0,50.5416666666667,48,65.8129177425723,76.9892473118279,0,0,100,100,0,0,100,100,65.8129177425723,76.9892473118279,45.8333333333333,0,15.7916666666667,13
1978,"agri","Jamais élu local",3,2.83018867924528,0,0,51,49,5.05050505050507,0,0,0,100,100,0,0,0,0,5.05050505050507,0,66.6666666666667,100,1.66666666666667,0
1978,"artisancommercantpdg","Ancien élu local",12,2.7906976744186,0,0,57.0833333333333,55.5,61.1086206695912,59.0909090909091,8.33333333333333,0,100,100,0,0,100,100,61.1086206695912,59.0909090909091,16.6666666666667,0,18.5833333333333,19.5
1978,"artisancommercantpdg","Jamais élu local",9,8.49056603773585,11.1111111111111,0,58.2222222222222,55,22.7262367262367,6.06060606060606,0,0,100,100,0,0,0,0,22.7262367262367,6.06060606060606,33.3333333333333,0,7.22222222222222,2
1978,"cadsupprive","Ancien élu local",54,12.5581395348837,1.85185185185185,0,51.3703703703704,54.5,46.9427293616665,49.2424242424242,14.8148148148148,0,100,100,0,0,100,100,46.5820662792293,49.2424242424242,42.5925925925926,0,12.8703703703704,13
1978,"cadsupprive","Jamais élu local",21,19.811320754717,4.76190476190476,0,46.8571428571429,48,16.5623153886165,19.2307692307692,19.047619047619,0,100,100,0,0,0,0,12.5663031906339,0,61.9047619047619,100,4.04761904761905,2
1978,"cadsuppub","Ancien élu local",133,30.9302325581395,2.25563909774436,0,49.8721804511278,50,50.6488360910298,45.4545454545455,29.3233082706767,0,100,100,0,0,100,100,46.9956694033398,43.75,34.5864661654135,0,12.4511278195489,11
1978,"cadsuppub","Jamais élu local",32,30.188679245283,0,0,47.125,48.5,18.3785160331508,3.03030303030303,28.125,0,100,100,0,0,0,0,11.2058044738639,0,75,100,4.3125,1
1978,"collab","Ancien élu local",8,1.86046511627907,0,0,44.375,47,64.1381455849456,74.8125,100,100,0,0,0,0,100,100,47.3634339824136,39.8571428571428,37.5,0,10.625,9.5
1978,"collab","Jamais élu local",2,1.88679245283019,0,0,40.5,40.5,13.1578947368421,13.1578947368421,0,0,0,0,0,0,0,0,13.1578947368421,13.1578947368421,50,50,2.5,2.5
1978,"employe","Ancien élu local",45,10.4651162790698,8.88888888888889,0,55.8222222222222,57,51.1385832243853,50,0,0,0,0,100,100,100,100,51.1385832243853,50,24.4444444444444,0,15.2666666666667,14
1978,"employe","Jamais élu local",9,8.49056603773585,22.2222222222222,0,47.5555555555556,52,22.608901784529,25,0,0,0,0,100,100,0,0,22.608901784529,25,33.3333333333333,0,5.11111111111111,5
1978,"NA","Ancien élu local",2,0.465116279069767,100,100,59,59,48.7554112554112,48.7554112554112,0,0,0,0,0,0,100,100,48.7554112554112,48.7554112554112,50,50,16,16
1978,"NA","Jamais élu local",2,1.88679245283019,0,0,32.5,32.5,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
1978,"profinter","Ancien élu local",69,16.046511627907,5.79710144927536,0,50.8405797101449,53,50.359912457247,43.75,5.79710144927536,0,0,0,100,100,100,100,49.7231723857243,43.75,43.4782608695652,0,12.6811594202899,12
1978,"profinter","Jamais élu local",8,7.54716981132075,12.5,0,44.5,41.5,14.3270944741533,8.8235294117647,12.5,0,0,0,100,100,0,0,11.2967914438503,6.06060606060605,62.5,100,3.625,1.5
1978,"proflib","Ancien élu local",83,19.3023255813953,1.20481927710843,0,54.6265060240964,56,57.9688878257541,57.5757575757576,0,0,100,100,0,0,100,100,57.9688878257541,57.5757575757576,25.3012048192771,0,16.3493975903614,16
1978,"proflib","Jamais élu local",20,18.8679245283019,5,0,50.75,52.5,18.6384499010847,16.19644723093,10,0,100,100,0,0,0,0,17.4696187322535,16.19644723093,40,0,5.45,5
1978,"Total","Ancien élu local",430,100,3.48837209302326,0,51.9348837209302,53,52.981674281091,53.2291666666667,13.953488372093,0,71.1627906976744,100,26.5116279069767,0,100,100,51.3921865283708,51.5151515151515,34.4186046511628,0,13.9279069767442,13
1978,"Total","Jamais élu local",106,100,5.66037735849057,0,48.2452830188679,49,17.667834351498,14.7186147186147,15.0943396226415,0,80.188679245283,100,16.0377358490566,0,0,0,14.2615883734426,0,57.5471698113208,100,4.54716981132075,2
1997,"agri","Ancien élu local",17,2.73752012882448,0,0,56.6470588235294,57,71.9974296010696,80,0,0,100,100,0,0,100,100,71.9974296010696,80,29.4117647058824,0,22.1764705882353,20
1997,"agri","Jamais élu local",1,3.03030303030303,0,0,38,38,23.0769230769231,23.0769230769231,0,0,100,100,0,0,0,0,23.0769230769231,23.0769230769231,0,0,3,3
1997,"artisancommercantpdg","Ancien élu local",36,5.79710144927536,5.55555555555556,0,53.5555555555556,54.5,60.0792583665253,55.5555555555556,2.77777777777778,0,100,100,0,0,100,100,59.5742078614748,55.5555555555556,33.3333333333333,0,16.9722222222222,15
1997,"artisancommercantpdg","Jamais élu local",2,6.06060606060606,0,0,45,45,0,0,50,50,100,100,0,0,0,0,0,0,100,100,0,0
1997,"cadsupprive","Ancien élu local",94,15.1368760064412,6.38297872340426,0,52.063829787234,52,61.0400618661075,60,22.3404255319149,0,100,100,0,0,100,100,59.4393855313724,57.7380952380952,29.7872340425532,0,16.1063829787234,15.5
1997,"cadsupprive","Jamais élu local",4,12.1212121212121,25,0,58,57,28.4970238095238,26.0416666666667,25,0,100,100,0,0,0,0,26.9345238095238,22.9166666666667,50,50,12.75,12.5
1997,"cadsuppub","Ancien élu local",221,35.5877616747182,9.04977375565611,0,54.1131221719457,54,60.2454625104713,61.1111111111111,27.6018099547511,0,100,100,0,0,100,100,57.1668095713544,60,36.1990950226244,0,17.5882352941176,17
1997,"cadsuppub","Jamais élu local",13,39.3939393939394,69.2307692307692,100,47.1538461538462,45,19.6625037493524,19.047619047619,61.5384615384615,100,100,100,0,0,0,0,7.98907461438479,0,76.9230769230769,100,4.69230769230769,3
1997,"collab","Ancien élu local",47,7.56843800322061,12.7659574468085,0,45.936170212766,45,80.2884958466778,86.9565217391304,93.6170212765958,100,0,0,0,0,100,100,61.4081275721266,64.2857142857143,36.1702127659574,0,16.7446808510638,17
1997,"collab","Jamais élu local",5,15.1515151515152,60,100,43,44,62.5356037151703,65,60,100,0,0,0,0,0,0,10.5882352941176,0,80,100,13,13
1997,"employe","Ancien élu local",6,0.966183574879227,66.6666666666667,100,53,53,58.6151482925677,55.955334987593,0,0,0,0,100,100,100,100,58.6151482925677,55.955334987593,33.3333333333333,0,16,15
1997,"NA","Ancien élu local",4,0.644122383252818,25,0,42.25,43.5,59.3003565062389,68.3333333333333,0,0,0,0,0,0,100,100,59.3003565062389,68.3333333333333,25,0,11,14
1997,"ouvrier","Ancien élu local",9,1.44927536231884,11.1111111111111,0,54.7777777777778,55,60.1741622574956,60,0,0,0,0,100,100,100,100,60.1741622574956,60,44.4444444444444,0,19.1111111111111,20
1997,"ouvrier","Jamais élu local",1,3.03030303030303,0,0,56,56,6.45161290322581,6.45161290322581,0,0,0,0,100,100,0,0,6.45161290322581,6.45161290322581,100,100,2,2
1997,"profinter","Ancien élu local",88,14.170692431562,12.5,0,52.1931818181818,51.5,61.6510762731662,66.0256410256411,7.95454545454545,0,0,0,100,100,100,100,61.5248136469036,65.1923076923077,53.4090909090909,100,16.5227272727273,15
1997,"profinter","Jamais élu local",3,9.09090909090909,0,0,53,53,10.7142857142857,0,0,0,0,0,100,100,0,0,10.7142857142857,0,66.6666666666667,100,3,0
1997,"proflib","Ancien élu local",99,15.9420289855072,9.09090909090909,0,54.0707070707071,54,59.0891840364283,57.1428571428571,7.07070707070707,0,100,100,0,0,100,100,58.6457936288802,57.1428571428571,30.3030303030303,0,17.2424242424242,15
1997,"proflib","Jamais élu local",4,12.1212121212121,0,0,42.5,44.5,8.51190476190475,7.5,25,0,100,100,0,0,0,0,4.76190476190475,0,75,100,1.75,1.5
1997,"Total","Ancien élu local",621,100,9.66183574879227,0,52.8647342995169,52,62.1867401725895,63.6363636363636,22.7053140096618,0,75.2012882447665,100,16.5861513687601,0,100,100,59.3020191362706,60.4166666666667,36.3929146537842,0,17.1481481481481,16
1997,"Total","Jamais élu local",33,100,39.3939393939394,0,47.6666666666667,45,23.5756871129137,16.1290322580645,42.4242424242424,0,72.7272727272727,100,12.1212121212121,0,0,0,10.4623107232215,0,72.7272727272727,100,6,3
2007,"agri","Ancien élu local",17,2.76422764227642,11.7647058823529,0,54.5882352941176,55,64.8532076341417,68.5714285714286,0,0,100,100,0,0,100,100,64.8532076341417,68.5714285714286,41.1764705882353,0,19,21
2007,"agri","Jamais élu local",1,4.16666666666667,0,0,61,61,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2007,"artisancommercantpdg","Ancien élu local",37,6.01626016260163,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"cadsupprive","Ancien élu local",98,15.9349593495935,16.3265306122449,0,54.9285714285714,55,67.0903960744659,72.3636363636363,14.2857142857143,0,100,100,0,0,100,100,65.5614340454897,68.8259109311741,20.4081632653061,0,19.8775510204082,19
2007,"cadsupprive","Jamais élu local",2,8.33333333333333,50,50,42,42,25,25,50,50,100,100,0,0,0,0,13.8888888888889,13.8888888888889,50,50,4.5,4.5
2007,"cadsuppub","Ancien élu local",186,30.2439024390244,15.5913978494624,0,56.494623655914,58,66.6278785611528,66.6666666666667,32.7956989247312,0,100,100,0,0,100,100,63.5878701422923,63.6363636363636,25.8064516129032,0,20.9032258064516,21
2007,"cadsuppub","Jamais élu local",10,41.6666666666667,40,0,53.8,54,24.5713637558936,22.0035778175313,50,50,100,100,0,0,0,0,15.1932234432235,12.6602564102564,40,0,6.2,5
2007,"collab","Ancien élu local",87,14.1463414634146,14.9425287356322,0,50.3448275862069,51,84.376096007839,90,91.9540229885057,100,0,0,0,0,100,100,66.9476132791992,70,26.4367816091954,0,21.367816091954,21
2007,"collab","Jamais élu local",5,20.8333333333333,40,0,33,31,85.2777777777778,100,100,100,0,0,0,0,0,0,0,0,100,100,5.8,6
2007,"employe","Ancien élu local",8,1.30081300813008,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"NA","Ancien élu local",8,1.30081300813008,62.5,100,53.5,51.5,77.7881944444445,81.9444444444445,25,0,0,0,0,0,100,100,73.9420405982906,81.9444444444445,50,50,21.125,22
2007,"NA","Jamais élu local",1,4.16666666666667,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
2007,"ouvrier","Ancien élu local",5,0.813008130081301,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"profinter","Ancien élu local",78,12.6829268292683,33.3333333333333,0,55.6025641025641,57,67.7940510823272,72.5705329153605,10.2564102564103,0,0,0,100,100,100,100,66.4883055458124,72.10433244916,37.1794871794872,0,20.8461538461538,23
2007,"profinter","Jamais élu local",2,8.33333333333333,50,50,39,39,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0
2007,"proflib","Ancien élu local",91,14.7967479674797,16.4835164835165,0,57.5384615384615,58,63.8562603762599,66.6666666666667,9.89010989010989,0,100,100,0,0,100,100,62.5175926676423,66.6666666666667,24.1758241758242,0,20.6043956043956,21
2007,"proflib","Jamais élu local",3,12.5,33.3333333333333,0,45,45,25.4385964912281,26.3157894736842,0,0,100,100,0,0,0,0,25.4385964912281,26.3157894736842,33.3333333333333,0,5,5
2007,"Total","Ancien élu local",615,100,18.5365853658537,0,55.2845528455285,56,68.9427721291093,70.5882352941177,28.9430894308943,0,69.7560975609756,100,14.7967479674797,0,100,100,64.8276821924795,66.6666666666667,26.9918699186992,0,20.669918699187,21
2007,"Total","Jamais élu local",24,100,37.5,0,45.7916666666667,43.5,33.2674298300629,24.6963562753036,45.8333333333333,0,66.6666666666667,100,8.33333333333333,0,0,0,10.6677417368207,0,62.5,100,4.79166666666667,5
2012,"agri","Ancien élu local",17,2.94117647058824,23.5294117647059,0,58.2352941176471,58,62.498563288968,65.7142857142857,0,0,100,100,0,0,100,100,62.498563288968,65.7142857142857,35.2941176470588,0,20.5882352941176,18
2012,"agri","Jamais élu local",1,2.22222222222222,100,100,56,56,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2012,"artisancommercantpdg","Ancien élu local",23,3.97923875432526,13.0434782608696,0,55.5652173913044,57,57.251463878233,58.974358974359,4.34782608695652,0,100,100,0,0,100,100,57.251463878233,58.974358974359,26.0869565217391,0,18.0434782608696,21
2012,"cadsupprive","Ancien élu local",96,16.6089965397924,16.6666666666667,0,55.46875,56,71.6020657407411,75,29.1666666666667,0,100,100,0,0,100,100,67.2774142306073,69.8896631823461,32.2916666666667,0,21.6979166666667,23
2012,"cadsupprive","Jamais élu local",12,26.6666666666667,33.3333333333333,0,44.8333333333333,45,7.57246376811594,0,16.6666666666667,0,100,100,0,0,0,0,3.6231884057971,0,91.6666666666667,100,1.91666666666667,0
2012,"cadsuppub","Ancien élu local",156,26.9896193771626,26.2820512820513,0,55.2948717948718,56,64.6584128510041,67.9285714285714,35.2564102564103,0,100,100,0,0,100,100,60.7722053003725,62.5625625625626,40.3846153846154,0,19.8012820512821,20
2012,"cadsuppub","Jamais élu local",13,28.8888888888889,46.1538461538462,0,46.6923076923077,46,5.6788739715569,0,15.3846153846154,0,100,100,0,0,0,0,1.63170163170163,0,92.3076923076923,100,1.53846153846154,0
2012,"collab","Ancien élu local",95,16.4359861591695,16.8421052631579,0,47.9789473684211,47,84.8539437514187,89.4736842105263,94.7368421052632,100,0,0,0,0,100,100,61.680405751855,62.962962962963,45.2631578947368,0,19.6210526315789,18
