"legis.annee","genre","groupe.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Femmes","Communiste",13,14.7727272727273,100,100,43,41,32.3072666963222,25,0,0,30.7692307692308,0,61.5384615384615,100,76.9230769230769,100,32.3072666963222,25,69.2307692307692,100,5.84615384615385,5
1978,"Femmes","Non-inscrits",1,7.14285714285714,100,100,49,49,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0
1978,"Femmes","RPR/UMP/LR",3,1.72413793103448,100,100,60,64,66.7443667443667,90.9090909090909,0,0,66.6666666666667,100,0,0,66.6666666666667,100,66.7443667443667,90.9090909090909,0,0,21.6666666666667,30
1978,"Femmes","Socialiste",2,1.65289256198347,100,100,46,46,19.6969696969697,19.6969696969697,0,0,50,50,50,50,50,50,19.6969696969697,19.6969696969697,100,100,6.5,6.5
1978,"Femmes","UDF/MODEM/UDI/NC/Dém",2,1.43884892086331,100,100,58.5,58.5,12.4526515151515,12.4526515151515,0,0,50,50,50,50,100,100,12.4526515151515,12.4526515151515,100,100,4,4
1978,"Hommes","Communiste",75,85.2272727272727,0,0,52.4133333333333,52,45.8693115309351,42.4242424242424,2.66666666666667,0,20,0,78.6666666666667,100,78.6666666666667,100,45.4479551095787,42.4242424242424,32,0,13.0666666666667,12
1978,"Hommes","Non-inscrits",13,92.8571428571429,0,0,54.1538461538462,55,39.8734419702161,38.8888888888889,7.69230769230769,0,76.9230769230769,100,15.3846153846154,0,84.6153846153846,100,37.675639772414,38.8888888888889,30.7692307692308,0,11.8461538461538,10
1978,"Hommes","RPR/UMP/LR",171,98.2758620689655,0,0,53.7309941520468,55,52.25892599066,55.5555555555556,22.2222222222222,0,88.3040935672515,100,9.35672514619883,0,78.9473684210526,100,49.1814798577273,51.6129032258065,29.2397660818713,0,14.2631578947368,13
1978,"Hommes","Socialiste",119,98.3471074380165,0,0,48.0840336134454,47,41.6761545903798,35.7142857142857,5.88235294117647,0,71.4285714285714,100,26.0504201680672,0,85.7142857142857,100,40.9336051569152,35.7142857142857,45.3781512605042,0,9.8655462184874,7
1978,"Hommes","UDF/MODEM/UDI/NC/Dém",137,98.5611510791367,0,0,50.3941605839416,52,44.6430052651633,41.6666666666667,20.4379562043796,0,89.051094890511,100,8.75912408759124,0,78.8321167883212,100,41.9440127406626,41.1764705882353,45.985401459854,0,11.4014598540146,11
