"legis.annee","ProfSigni","primodep","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"agri","Ancien député",14,4.28134556574924,0,0,57,56.5,66.727478346108,72.1407624633431,0,0,100,100,0,0,92.8571428571429,100,66.727478346108,72.1407624633431,0,0,19.2142857142857,20
1978,"agri","Primo-député",13,6.2200956937799,0,0,43.6923076923077,42,50.8059110867492,61.9047619047619,0,0,100,100,0,0,84.6153846153846,100,50.8059110867492,61.9047619047619,100,100,8.84615384615385,11
1978,"artisancommercantpdg","Ancien député",16,4.89296636085627,6.25,0,58.9375,55.5,54.164216084944,58.8744588744588,6.25,0,100,100,0,0,62.5,100,54.164216084944,58.8744588744588,0,0,16.625,18
1978,"artisancommercantpdg","Primo-député",5,2.39234449760766,0,0,53.2,55,14.2424242424242,0,0,0,100,100,0,0,40,0,14.2424242424242,0,100,100,4.4,0
1978,"cadsupprive","Ancien député",39,11.9266055045872,0,0,55.1025641025641,55,50.3092753387389,51.5151515151515,15.3846153846154,0,100,100,0,0,79.4871794871795,100,49.9613103634102,51.5151515151515,0,0,14.8461538461538,16
1978,"cadsupprive","Primo-député",36,17.2248803827751,5.55555555555556,0,44.6944444444444,42.5,25.5737297355589,20.9375,16.6666666666667,0,100,100,0,0,63.8888888888889,100,23.0786900530193,12.5,100,100,5.58333333333333,2
1978,"cadsuppub","Ancien député",95,29.0519877675841,3.15789473684211,0,53.2315789473684,53,55.7497935299786,53.8461538461538,35.7894736842105,0,100,100,0,0,91.5789473684211,100,51.5947605546178,48.4848484848485,0,0,15.0315789473684,13
1978,"cadsuppub","Primo-député",70,33.4928229665072,0,0,44.0571428571429,43,28.9739618259974,25.6578947368421,20,0,100,100,0,0,65.7142857142857,100,24.3929645874165,20,100,100,5.22857142857143,3
1978,"collab","Ancien député",6,1.8348623853211,0,0,45.3333333333333,46,66.3950085055634,74.8125,83.3333333333333,100,0,0,0,0,83.3333333333333,100,46.3275769435666,39.8571428571428,0,0,13,11.5
1978,"collab","Primo-député",4,1.91387559808612,0,0,41,41.5,35.2627257799671,20.5254515599343,75,100,0,0,0,0,75,100,31.8144499178982,13.6288998357964,100,100,3,3.5
1978,"employe","Ancien député",40,12.2324159021407,5,0,57.3,57.5,55.8488179423211,51.9259259259259,0,0,0,0,100,100,85,100,55.8488179423211,51.9259259259259,0,0,16.875,16.5
1978,"employe","Primo-député",14,6.69856459330144,28.5714285714286,0,46.2857142857143,43,19.3402602475183,12.5925925925926,0,0,0,0,100,100,78.5714285714286,100,19.3402602475183,12.5925925925926,100,100,4.14285714285714,3.5
1978,"NA","Ancien député",1,0.305810397553517,100,100,65,65,93.9393939393939,93.9393939393939,0,0,0,0,0,0,100,100,93.9393939393939,93.9393939393939,0,0,31,31
1978,"NA","Primo-député",3,1.43540669856459,33.3333333333333,0,39.3333333333333,35,1.19047619047619,0,0,0,0,0,0,0,33.3333333333333,0,1.19047619047619,0,100,100,0.333333333333333,0
1978,"profinter","Ancien député",42,12.8440366972477,0,0,53.8095238095238,55,60.2016765018717,61.9696969696969,4.76190476190476,0,0,0,100,100,92.8571428571429,100,59.9311137313089,61.9696969696969,0,0,16.2619047619048,14
1978,"profinter","Primo-député",35,16.7464114832536,14.2857142857143,0,45.8285714285714,46,30.3137229218473,24.2424242424242,8.57142857142857,0,0,0,100,100,85.7142857142857,100,28.6904699843087,23.3333333333333,100,100,6.31428571428571,5
