"legis.annee","genre","tendance.pol","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Femmes","Centre",2,1.43884892086331,100,100,58.5,58.5,12.4526515151515,12.4526515151515,0,0,50,50,50,50,100,100,12.4526515151515,12.4526515151515,100,100,4,4
1978,"Femmes","COM/LFI",13,14.7727272727273,100,100,43,41,32.3072666963222,25,0,0,30.7692307692308,0,61.5384615384615,100,76.9230769230769,100,32.3072666963222,25,69.2307692307692,100,5.84615384615385,5
1978,"Femmes","Droite",3,1.72413793103448,100,100,60,64,66.7443667443667,90.9090909090909,0,0,66.6666666666667,100,0,0,66.6666666666667,100,66.7443667443667,90.9090909090909,0,0,21.6666666666667,30
1978,"Femmes","ECO/SOC/RAD",2,1.65289256198347,100,100,46,46,19.6969696969697,19.6969696969697,0,0,50,50,50,50,50,50,19.6969696969697,19.6969696969697,100,100,6.5,6.5
1978,"Femmes","Non-inscrits",1,7.14285714285714,100,100,49,49,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0
1978,"Hommes","Centre",137,98.5611510791367,0,0,50.3941605839416,52,44.6430052651633,41.6666666666667,20.4379562043796,0,89.051094890511,100,8.75912408759124,0,78.8321167883212,100,41.9440127406626,41.1764705882353,45.985401459854,0,11.4014598540146,11
1978,"Hommes","COM/LFI",75,85.2272727272727,0,0,52.4133333333333,52,45.8693115309351,42.4242424242424,2.66666666666667,0,20,0,78.6666666666667,100,78.6666666666667,100,45.4479551095787,42.4242424242424,32,0,13.0666666666667,12
1978,"Hommes","Droite",171,98.2758620689655,0,0,53.7309941520468,55,52.25892599066,55.5555555555556,22.2222222222222,0,88.3040935672515,100,9.35672514619883,0,78.9473684210526,100,49.1814798577273,51.6129032258065,29.2397660818713,0,14.2631578947368,13
1978,"Hommes","ECO/SOC/RAD",119,98.3471074380165,0,0,48.0840336134454,47,41.6761545903798,35.7142857142857,5.88235294117647,0,71.4285714285714,100,26.0504201680672,0,85.7142857142857,100,40.9336051569152,35.7142857142857,45.3781512605042,0,9.8655462184874,7
1978,"Hommes","Non-inscrits",13,92.8571428571429,0,0,54.1538461538462,55,39.8734419702161,38.8888888888889,7.69230769230769,0,76.9230769230769,100,15.3846153846154,0,84.6153846153846,100,37.675639772414,38.8888888888889,30.7692307692308,0,11.8461538461538,10
1978,"Total","Centre",139,100,1.43884892086331,0,50.5107913669065,52,44.1798347076092,41.1764705882353,20.1438848920863,0,88.4892086330935,100,9.35251798561151,0,79.136690647482,100,41.5196766079214,40.625,46.7625899280576,0,11.294964028777,10
1978,"Total","COM/LFI",88,100,14.7727272727273,0,51.0227272727273,52,43.8658276349128,41.8859649122807,2.27272727272727,0,21.5909090909091,0,76.1363636363636,100,78.4090909090909,100,43.5067170485294,41.8859649122807,37.5,0,12,8.5
1978,"Total","Droite",174,100,1.72413793103448,0,53.8390804597701,55,52.5086749691722,56.3492063492063,21.8390804597701,0,87.9310344827586,100,9.19540229885057,0,78.7356321839081,100,49.4842882523245,51.6129032258065,28.735632183908,0,14.3908045977012,13.5
1978,"Total","ECO/SOC/RAD",121,100,1.65289256198347,0,48.0495867768595,47,41.3128622780921,35.7142857142857,5.78512396694215,0,71.0743801652893,100,26.4462809917355,0,85.1239669421488,100,40.5825863889822,35.7142857142857,46.2809917355372,0,9.8099173553719,7
1978,"Total","Non-inscrits",14,100,7.14285714285714,0,53.7857142857143,54,37.0253389723436,35.5734767025089,7.14285714285714,0,71.4285714285714,100,21.4285714285714,0,78.5714285714286,100,34.984522645813,35.5734767025089,35.7142857142857,0,11,9
1997,"Femmes","Centre",8,6.50406504065041,100,100,57.75,57,49.2584325396825,50.8928571428572,37.5,0,87.5,100,0,0,75,100,39.3960813492064,45.6845238095238,25,0,16.5,20
1997,"Femmes","COM/LFI",4,9.75609756097561,100,100,52,52.5,59.2753623188406,53.3333333333333,0,0,25,0,50,50,100,100,59.2753623188406,53.3333333333333,25,0,16,16
1997,"Femmes","Droite",9,5.73248407643312,100,100,52.4444444444444,51,50.9935294355584,57.6923076923077,22.2222222222222,0,77.7777777777778,100,11.1111111111111,0,100,100,47.9664639084929,53.8461538461538,44.4444444444444,0,13.7777777777778,15
1997,"Femmes","ECO/SOC/RAD",52,15.8536585365854,100,100,48.8269230769231,49,46.4399273297359,50.8620689655173,25,0,61.5384615384615,100,25,0,78.8461538461538,100,37.4985743732007,36.7521367521367,82.6923076923077,100,11.0961538461538,13.5
1997,"Hommes","Centre",115,93.4959349593496,0,0,53.3739130434783,53,65.1004917400925,68.0851063829787,30.4347826086957,0,89.5652173913043,100,5.21739130434783,0,96.5217391304348,100,62.5724807069008,66.6666666666667,15.6521739130435,0,18.4260869565217,18
1997,"Hommes","COM/LFI",37,90.2439024390244,0,0,54.8378378378378,54,60.3696630517633,64.5161290322581,0,0,35.1351351351351,0,62.1621621621622,100,94.5945945945946,100,60.3696630517633,64.5161290322581,51.3513513513514,100,18.2702702702703,20
1997,"Hommes","Droite",148,94.2675159235669,0,0,54.0743243243243,54,60.831435203508,60,28.3783783783784,0,83.7837837837838,100,7.43243243243243,0,97.2972972972973,100,57.5758404945615,56.5714285714286,16.8918918918919,0,17.4054054054054,15
1997,"Hommes","ECO/SOC/RAD",276,84.1463414634146,0,0,51.713768115942,51,61.1773719496715,63.8181818181818,21.3768115942029,0,72.463768115942,100,18.1159420289855,0,96.3768115942029,100,57.9971785877594,60.8695652173913,48.9130434782609,0,16.2789855072464,16
1997,"Hommes","Non-inscrits",5,100,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
1997,"Total","Centre",123,100,6.50406504065041,0,53.6585365853659,53,64.0701139059195,66.6666666666667,30.8943089430894,0,89.4308943089431,100,4.8780487804878,0,95.1219512195122,100,61.0650726185955,65.5172413793103,16.260162601626,0,18.3008130081301,20
1997,"Total","COM/LFI",41,100,9.75609756097561,0,54.5609756097561,54,60.2629020046489,63.6363636363636,0,0,34.1463414634146,0,60.9756097560976,100,95.1219512195122,100,60.2629020046489,63.6363636363636,48.780487804878,0,18.0487804878049,20
1997,"Total","Droite",157,100,5.73248407643312,0,53.9808917197452,53,60.2674788219058,60,28.0254777070064,0,83.4394904458599,100,7.64331210191083,0,97.4522292993631,100,57.0249845119206,56,18.4713375796178,0,17.1974522292994,15
1997,"Total","ECO/SOC/RAD",328,100,15.8536585365854,0,51.2560975609756,51,58.8409478026085,61.3171355498721,21.9512195121951,0,70.7317073170732,100,19.2073170731707,0,93.5975609756098,100,54.7473998708172,58.1989247311828,54.2682926829268,100,15.4573170731707,15
1997,"Total","Non-inscrits",5,100,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
2007,"Femmes","Centre",1,3.84615384615385,100,100,75,75,66.6666666666667,66.6666666666667,0,0,0,0,0,0,100,100,66.6666666666667,66.6666666666667,100,100,30,30
2007,"Femmes","COM/LFI",6,23.0769230769231,100,100,55.5,56.5,60.619399641577,64.8200757575758,16.6666666666667,0,16.6666666666667,0,66.6666666666667,100,100,100,60.619399641577,64.8200757575758,33.3333333333333,0,18.5,17.5
2007,"Femmes","Droite",58,15.7181571815718,100,100,53.5344827586207,54.5,52.8222560975603,53.3596837944664,22.4137931034483,0,63.7931034482759,100,18.9655172413793,0,93.1034482758621,100,48.4714879480405,49,36.2068965517241,0,15.2241379310345,12
2007,"Femmes","ECO/SOC/RAD",57,27.1428571428571,100,100,53.3333333333333,55,56.8472154059936,62.0689655172414,24.5614035087719,0,57.8947368421053,100,29.8245614035088,0,91.2280701754386,100,47.2133410070095,46.6666666666667,57.8947368421053,100,15.7543859649123,16
2007,"Femmes","Non-inscrits",1,12.5,100,100,44,44,94.7368421052632,94.7368421052632,100,100,0,0,0,0,100,100,94.7368421052632,94.7368421052632,0,0,18,18
2007,"Hommes","Centre",25,96.1538461538462,0,0,53.2,53,72.6157578810936,73.3333333333333,28,0,80,100,4,0,96,100,69.4747640922738,73.3333333333333,16,0,19.52,18
2007,"Hommes","COM/LFI",20,76.9230769230769,0,0,59.75,61,77.4478079704598,80,5,0,30,0,65,100,100,100,75.7811413037931,78.4615384615385,25,0,26.45,27
2007,"Hommes","Droite",311,84.2818428184282,0,0,54.9581993569132,56,68.285670697202,69.2307692307692,29.2604501607717,0,77.491961414791,100,7.07395498392283,0,96.7845659163987,100,64.3916136682758,66.6666666666667,21.5434083601286,0,20.3601286173633,21
2007,"Hommes","ECO/SOC/RAD",153,72.8571428571429,0,0,55.718954248366,57,73.1977706104232,78.9473684210526,37.9084967320261,0,66.6666666666667,100,15.0326797385621,0,97.3856209150327,100,67.270587498037,71.4285714285714,29.4117647058824,0,22.1699346405229,24
2007,"Hommes","Non-inscrits",7,87.5,0,0,51.4285714285714,52,81.2383628915887,90.3225806451613,42.8571428571429,0,71.4285714285714,100,28.5714285714286,0,100,100,75.2485769478857,80.6451612903226,42.8571428571429,0,20.8571428571429,18
2007,"Total","Centre",26,100,3.84615384615385,0,54.0384615384615,53.5,72.3869466805388,70,26.9230769230769,0,76.9230769230769,100,3.84615384615385,0,96.1538461538462,100,69.366760345135,70,19.2307692307692,0,19.9230769230769,18
2007,"Total","COM/LFI",26,100,23.0769230769231,0,58.7692307692308,59,73.564329125333,79.0625,7.69230769230769,0,26.9230769230769,0,65.3846153846154,100,100,100,72.2822778432817,77.5240384615385,26.9230769230769,0,24.6153846153846,24
2007,"Total","Droite",369,100,15.7181571815718,0,54.7344173441734,56,65.8551068847921,68.4210526315789,28.1842818428184,0,75.3387533875339,100,8.94308943089431,0,96.2059620596206,100,61.8892632840654,64.2857142857143,23.8482384823848,0,19.5528455284553,19
2007,"Total","ECO/SOC/RAD",210,100,27.1428571428571,0,55.0714285714286,56,68.7597627692209,72.10433244916,34.2857142857143,0,64.2857142857143,100,19.047619047619,0,95.7142857142857,100,61.8264777361867,66.6666666666667,37.1428571428571,0,20.4285714285714,21
2007,"Total","Non-inscrits",8,100,12.5,0,50.5,49.5,82.925672793298,92.0362903225806,50,50,62.5,100,25,0,100,100,77.6846100925579,87.1975806451613,37.5,0,20.5,18
2012,"Femmes","Centre",2,6.25,100,100,50.5,50.5,38.4615384615385,38.4615384615385,0,0,50,50,50,50,100,100,38.4615384615385,38.4615384615385,100,100,10.5,10.5
2012,"Femmes","COM/LFI",3,20,100,100,63.3333333333333,63,79.6586059743955,81.0810810810811,0,0,33.3333333333333,0,33.3333333333333,0,100,100,79.6586059743955,81.0810810810811,0,0,30.6666666666667,30
2012,"Femmes","Droite",27,13.3663366336634,100,100,52.1481481481481,52,55.8120021160764,58.3333333333333,29.6296296296296,0,59.2592592592593,100,18.5185185185185,0,96.2962962962963,100,49.5157058197801,50,37.037037037037,0,14.962962962963,14
2012,"Femmes","ECO/SOC/RAD",132,36.1643835616438,100,100,53.0833333333333,54,47.0632947008354,48.0509745127436,21.969696969697,0,53.7878787878788,100,32.5757575757576,0,86.3636363636364,100,40.618411149265,40.3703703703704,65.1515151515152,100,13.280303030303,11
2012,"Femmes","Non-inscrits",3,33.3333333333333,100,100,41,49,86.3782051282051,86.3782051282051,33.3333333333333,0,33.3333333333333,0,0,0,66.6666666666667,100,86.3782051282051,86.3782051282051,33.3333333333333,0,14.3333333333333,20
2012,"Hommes","Centre",30,93.75,0,0,53.9333333333333,52.5,74.5806093387274,82.0043103448276,40,0,56.6666666666667,100,13.3333333333333,0,90,100,69.4536847897599,77.2727272727273,20,0,21.6666666666667,23
2012,"Hommes","COM/LFI",12,80,0,0,60.25,61,69.5639231821349,80.9022556390977,16.6666666666667,0,50,50,33.3333333333333,0,100,100,66.2943857020712,74.2857142857143,41.6666666666667,0,25.0833333333333,26
2012,"Hommes","Droite",175,86.6336633663366,0,0,55.7885714285714,57,72.1722832076049,72.7272727272727,32,0,78.8571428571429,100,5.71428571428571,0,96.5714285714286,100,67.9047331411932,69.2307692307692,16,0,22.08,23
