"legis.annee","tendance.pol","elu.local","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Centre","Ancien élu local",110,25.5813953488372,1.81818181818182,0,51.2545454545455,53,51.844082377892,57.5757575757576,14.5454545454545,0,87.2727272727273,100,10.9090909090909,0,100,100,50.5005295481316,54.7727272727273,41.8181818181818,0,13.4090909090909,13
1978,"Centre","Jamais élu local",29,27.3584905660377,0,0,47.6896551724138,50,15.1085504410193,17.2413793103448,41.3793103448276,0,93.1034482758621,100,3.44827586206897,0,0,0,7.45437235195185,0,65.5172413793103,100,3.27586206896552,2
1978,"COM/LFI","Ancien élu local",69,16.046511627907,14.4927536231884,0,52.7391304347826,53,51.4015790066662,50,2.89855072463768,0,15.9420289855072,0,82.6086956521739,100,100,100,50.9435828964962,50,31.8840579710145,0,14.1014492753623,13
1978,"COM/LFI","Jamais élu local",19,17.9245283018868,15.7894736842105,0,44.7894736842105,44,16.4991516006501,0,0,0,42.1052631578947,0,52.6315789473684,100,0,0,16.4991516006501,0,57.8947368421053,100,4.36842105263158,0
1978,"Droite","Ancien élu local",137,31.8604651162791,1.45985401459854,0,54.1970802919708,56,60.1658689695213,60.6060606060606,24.8175182481752,0,85.4014598540146,100,10.9489051094891,0,100,100,57.3399391911229,57.5757575757576,23.3576642335766,0,16.4525547445255,16
1978,"Droite","Jamais élu local",37,34.9056603773585,2.7027027027027,0,52.5135135135135,54,24.1563620489607,17.2413793103448,10.8108108108108,0,97.2972972972973,100,2.7027027027027,0,0,0,20.397148289747,13.0434782608696,48.6486486486486,0,6.75675675675676,4
1978,"ECO/SOC/RAD","Ancien élu local",103,23.953488372093,0.970873786407767,0,48.6019417475728,48,46.5677974116875,40.9090909090909,6.79611650485437,0,70.873786407767,100,27.1844660194175,0,100,100,45.7099004934128,40,43.6893203883495,0,11.0485436893204,8
1978,"ECO/SOC/RAD","Jamais élu local",18,16.9811320754717,5.55555555555556,0,44.8888888888889,40.5,11.2429556802958,0,0,0,72.2222222222222,100,22.2222222222222,0,0,0,11.2429556802958,0,61.1111111111111,100,2.72222222222222,0
1978,"Non-inscrits","Ancien élu local",11,2.55813953488372,0,0,56.7272727272727,56,44.8504314193464,42.4242424242424,9.09090909090909,0,81.8181818181818,100,18.1818181818182,0,100,100,42.2530288219438,42.4242424242424,27.2727272727273,0,13.5454545454545,14
1978,"Non-inscrits","Jamais élu local",3,2.83018867924528,33.3333333333333,0,43,45,8.33333333333333,0,0,0,33.3333333333333,0,33.3333333333333,0,0,0,8.33333333333333,0,66.6666666666667,100,1.66666666666667,0
1978,"Total","Ancien élu local",430,100,3.48837209302326,0,51.9348837209302,53,52.981674281091,53.2291666666667,13.953488372093,0,71.1627906976744,100,26.5116279069767,0,100,100,51.3921865283708,51.5151515151515,34.4186046511628,0,13.9279069767442,13
1978,"Total","Jamais élu local",106,100,5.66037735849057,0,48.2452830188679,49,17.667834351498,14.7186147186147,15.0943396226415,0,80.188679245283,100,16.0377358490566,0,0,0,14.2615883734426,0,57.5471698113208,100,4.54716981132075,2
1997,"Centre","Ancien élu local",117,18.8405797101449,5.12820512820513,0,53.4957264957265,53,65.4291225962515,68.0851063829787,29.0598290598291,0,88.8888888888889,100,5.12820512820513,0,100,100,62.5340964108768,66.6666666666667,16.2393162393162,0,18.5555555555556,20
1997,"Centre","Jamais élu local",6,18.1818181818182,33.3333333333333,0,56.8333333333333,55,37.5694444444444,36.6666666666667,66.6666666666667,100,100,100,0,0,0,0,32.4191086691087,29.1025641025641,16.6666666666667,0,13.3333333333333,10.5
1997,"COM/LFI","Ancien élu local",39,6.28019323671498,10.2564102564103,0,54.5641025641026,54,62.3637054396031,64.5161290322581,0,0,35.8974358974359,0,58.974358974359,100,100,100,62.3637054396031,64.5161290322581,48.7179487179487,0,18.6923076923077,20
1997,"COM/LFI","Jamais élu local",2,6.06060606060606,0,0,54.5,54.5,19.2972350230415,19.2972350230415,0,0,0,0,100,100,0,0,19.2972350230415,19.2972350230415,50,50,5.5,5.5
1997,"Droite","Ancien élu local",153,24.6376811594203,5.88235294117647,0,54.2483660130719,54,61.6922696206686,60.6060606060606,28.1045751633987,0,83.0065359477124,100,7.84313725490196,0,100,100,58.3650042176119,57.1428571428571,16.9934640522876,0,17.6274509803922,15
1997,"Droite","Jamais élu local",4,12.1212121212121,0,0,43.75,42.5,5.76923076923078,0,25,0,100,100,0,0,0,0,5.76923076923078,0,75,100,0.75,0
1997,"ECO/SOC/RAD","Ancien élu local",307,49.4363929146538,13.3550488599349,0,51.6742671009772,51,61.2668445091828,63.1578947368421,20.5211726384365,0,71.0097719869707,100,19.8697068403909,0,100,100,58.2022050452748,60,51.7915309446254,100,16.1758957654723,16
1997,"ECO/SOC/RAD","Jamais élu local",21,63.6363636363636,52.3809523809524,100,45.1428571428571,45,23.3766483303086,8.33333333333333,42.8571428571429,0,66.6666666666667,100,9.52380952380952,0,0,0,4.24143851088822,0,90.4761904761905,100,4.95238095238095,3
1997,"Non-inscrits","Ancien élu local",5,0.805152979066023,0,0,55.6,57,56.5470549981419,47.8260869565217,20,0,80,100,20,0,100,100,55.9914994425864,47.8260869565217,60,100,17.2,15
1997,"Total","Ancien élu local",621,100,9.66183574879227,0,52.8647342995169,52,62.1867401725895,63.6363636363636,22.7053140096618,0,75.2012882447665,100,16.5861513687601,0,100,100,59.3020191362706,60.4166666666667,36.3929146537842,0,17.1481481481481,16
1997,"Total","Jamais élu local",33,100,39.3939393939394,0,47.6666666666667,45,23.5756871129137,16.1290322580645,42.4242424242424,0,72.7272727272727,100,12.1212121212121,0,0,0,10.4623107232215,0,72.7272727272727,100,6,3
2007,"Centre","Ancien élu local",25,4.0650406504065,4,0,53.6,53,74.0824245477603,73.3333333333333,24,0,76,100,4,0,100,100,71.6414307589404,73.3333333333333,20,0,20.24,18
2007,"Centre","Jamais élu local",1,4.16666666666667,0,0,65,65,30,30,100,100,100,100,0,0,0,0,12.5,12.5,0,0,12,12
2007,"COM/LFI","Ancien élu local",26,4.22764227642276,23.0769230769231,0,58.7692307692308,59,73.564329125333,79.0625,7.69230769230769,0,26.9230769230769,0,65.3846153846154,100,100,100,72.2822778432817,77.5240384615385,26.9230769230769,0,24.6153846153846,24
2007,"Droite","Ancien élu local",355,57.7235772357724,15.2112676056338,0,55.056338028169,56,67.6921553757274,68.75,27.887323943662,0,75.4929577464789,100,8.73239436619718,0,100,100,63.9162789205721,66.6666666666667,22.5352112676056,0,20.1746478873239,20
2007,"Droite","Jamais élu local",14,58.3333333333333,28.5714285714286,0,46.5714285714286,42,19.2728058646488,19.3936877076412,35.7142857142857,0,71.4285714285714,100,14.2857142857143,0,0,0,10.4899382155021,0,57.1428571428571,100,3.78571428571429,5
2007,"ECO/SOC/RAD","Ancien élu local",201,32.6829268292683,25.8706467661692,0,55.636815920398,57,69.3579659090545,72.4137931034483,33.3333333333333,0,64.6766169154229,100,19.9004975124378,0,100,100,64.1138987956843,68.5714285714286,35.3233830845771,0,21.0945273631841,23
2007,"ECO/SOC/RAD","Jamais élu local",9,37.5,55.5555555555556,100,42.4444444444444,45,55.3998926462695,50,55.5555555555556,100,55.5555555555556,100,0,0,0,0,10.7407407407407,0,77.7777777777778,100,5.55555555555556,5
2007,"Non-inscrits","Ancien élu local",8,1.30081300813008,12.5,0,50.5,49.5,82.925672793298,92.0362903225806,50,50,62.5,100,25,0,100,100,77.6846100925579,87.1975806451613,37.5,0,20.5,18
2007,"Total","Ancien élu local",615,100,18.5365853658537,0,55.2845528455285,56,68.9427721291093,70.5882352941177,28.9430894308943,0,69.7560975609756,100,14.7967479674797,0,100,100,64.8276821924795,66.6666666666667,26.9918699186992,0,20.669918699187,21
2007,"Total","Jamais élu local",24,100,37.5,0,45.7916666666667,43.5,33.2674298300629,24.6963562753036,45.8333333333333,0,66.6666666666667,100,8.33333333333333,0,0,0,10.6677417368207,0,62.5,100,4.79166666666667,5
2012,"Centre","Ancien élu local",29,5.01730103806228,6.89655172413793,0,53.7931034482759,53,79.8048743822379,82.7586206896552,41.3793103448276,0,55.1724137931034,100,13.7931034482759,0,100,100,74.5011593315818,77.2727272727273,17.2413793103448,0,23.1379310344828,23
2012,"Centre","Jamais élu local",3,6.66666666666667,0,0,53,51,0,0,0,0,66.6666666666667,100,33.3333333333333,0,0,0,0,0,100,100,0,0
